,VAR
Price/Earnings (TTM),46.2485
Price/Sales (TTM),3.23369
Price/Book (MRQ),5.78355
Price/Cash Flow (TTM),39.32055
5yr Low,71.07
5yr High,150.06
5yr Avg Return,0.06526666666666667
EPS Growth 5yr,-0.0329284
Revenue Growth 5yr,0.011240300000000002
Dividend Growth 5yr,
Short Int Current Month,3020026.0
Short Int Prev Month,2478684.0
Short Int Pct of Float,0.0334397
Days to Cover,3.99082
Float,90.31877
Shares Outstanding,90.66585
Institutions Holding Shares,829.0
% Held by Institutions,0.930839
FCF Growth 5yr,-0.014265231405437496
