,COF
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-1.980573543015726
Growth 1yr High Est,-0.6684491978609626
Growth 1yr Consensus Est,-1.3245113704383442
Growth 2yr Low Est,-1.653966016790882
Growth 2yr High Est,1.6563667989189812
Growth 2yr Consensus Est,0.0012003910640495663
Growth 5yr Low Est,-0.7085153512282881
Growth 5yr High Est,0.9374100884600489
Growth 5yr Consensus Est,0.11444736861588045
Growth 5yr Actual/Est,-1.909064366240448
Growth 3yr Historic,0.13273427629348866
