,ATO
% Above Low,0.24910000000000002
% Held by Institutions,0.8406
52-Wk Range,['77.92 - 121.08']
Annual Dividend $,2.3
Annual Dividend %,0.0239
Ask,105.61
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.3
Bid,
Bid Size,
Change Since Close,0.00| |(0.00%)
Closing Price,97.33
Day Change $,0.95
Day Change %,0.009899999999999999
Day High,97.87
Day Low,96.16
Dividend Pay Date,2020-06-08 00:00:00
"EPS (TTM, GAAP)",4.58
Ex-dividend,2020-05-22 00:00:00
Ex-dividend Date,05/22/20
Historical Volatility,0.384
Last (size),2100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,11.9B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",21.02
Prev Close,96.38
Short Interest,0.0377
Today's Open,97.39
Volume,868230.0
Volume 10-day Avg,923794.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.06728538283062657
Growth 1yr High Est,0.08505747126436791
Growth 1yr Consensus Est,0.07617142704749724
Growth 2yr Low Est,0.06842530011096548
Growth 2yr High Est,0.08596093902201452
Growth 2yr Consensus Est,0.07719311956649
Growth 5yr Low Est,0.083603945035013
Growth 5yr High Est,0.08889624830349835
Growth 5yr Consensus Est,0.08625009666925568
Growth 5yr Actual/Est,0.08678019907783435
Growth 3yr Historic,0.04965277777777777
Price/Earnings (TTM),21.02453
Price/Sales (TTM),4.23639
Price/Book (MRQ),1.86982
Price/Cash Flow (TTM),12.19335
5yr Low,50.83
5yr High,121.08
5yr Avg Return,0.11130000000000001
EPS Growth 5yr,0.07991419999999999
Revenue Growth 5yr,-0.10097149999999999
Dividend Growth 5yr,0.0724857
Short Int Current Month,4540750.0
Short Int Prev Month,4704861.0
Short Int Pct of Float,0.037694899999999996
Days to Cover,5.93897
Float,120.4454
Shares Outstanding,122.3115
Institutions Holding Shares,770.0
FCF Growth 5yr,0.44537354164151105
"Price/Earnings (TTM, GAAP)",21.02
"PEG Ratio (TTM, GAAP)",2.94
Gross Profit Margin (TTM),0.5321
Operating Profit Margin (TTM),0.2861
Net Profit Margin (TTM),0.2002
Annual Dividend Yield,0.0239
Dividend Change %,0.0825
"Dividend Growth Rate, 3 Years",0.0772
EPS Growth (MRQ),0.3234
EPS Growth (TTM),0.0888
Revenue Growth (MRQ),0.11660000000000001
Revenue Growth (TTM),-0.066
Return On Equity (TTM),0.0943
Return On Assets (TTM),0.04070000000000001
Return On Investment (TTM),0.0435
Revenue Per Employee (TTM),582632.0
Total Debt/Total Capital (MRQ),0.4181
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.82
Interest Coverage (MRQ),14.95
newConstructs,4
researchTeam,reduce
theStreet,buy
cfra,5
ford,3
marketEdge opinion,neutralfromlong
marketEdge,-3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2010-08-15 00:00:00
cfra since,2020-03-07 00:00:00
ford since,2019-07-19 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
