,Industry,Type,XRX,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.36,Valuation,8.22,0.38483146067415736
Price/Sales (TTM),4.67,Valuation,0.44,0.09421841541755889
Price/Book (MRQ),16.05,Valuation,0.72,0.044859813084112146
"PEG Ratio (TTM, GAAP)",1.61,Valuation,,
Gross Profit Margin (TTM),0.3763,Profitability,0.3983,1.0584639914961467
Operating Profit Margin (TTM),0.22890000000000002,Profitability,0.0932,0.4071647007426824
Net Profit Margin (TTM),0.20070000000000002,Profitability,0.06280000000000001,0.3129048330842053
Annual Dividend Yield,0.0117,Dividend,0.0552,4.717948717948718
Dividend Change %,0.1038,Dividend,0.0,0.0
"Dividend Growth Rate, 3 Years",0.1086,Dividend,-0.0616,-0.567219152854512
EPS Growth (MRQ),0.092,Gowth rates,-1.0246,-11.13695652173913
EPS Growth (TTM),0.1325,Gowth rates,0.1731,1.3064150943396227
Revenue Growth (MRQ),0.0063,Gowth rates,-0.239,-37.93650793650794
Revenue Growth (TTM),0.0364,Gowth rates,-0.0756,-2.0769230769230766
Return On Equity (TTM),0.589,Effectiveness,0.0958,0.1626485568760611
Return On Assets (TTM),0.1637,Effectiveness,0.037000000000000005,0.22602321319486868
Return On Investment (TTM),0.23399999999999999,Effectiveness,0.0472,0.20170940170940171
Revenue Per Employee (TTM),1841002.0,Effectiveness,322963.0,0.17542783766666195
Total Debt/Total Capital (MRQ),0.6053000000000001,Financial strength,0.433,0.7153477614406079
Change in Debt/Total Capital Quarter over Quarter,0.0004,Financial strength,-0.0011,-2.75
Quick Ratio (MRQ),1.42,Financial strength,1.53,1.0774647887323945
Interest Coverage (MRQ),0.48,Financial strength,9.07,18.895833333333336
