,XRX
% Above Low,0.2079
% Held by Institutions,0.8736
52-Wk Range,['15.01 - 39.47']
Annual Dividend $,1.0
Annual Dividend %,0.057699999999999994
Ask,18.16
Ask Size,4000.0
B/A Ratio,0.025
B/A Size,100x4000
Beta,1.7
Bid,17.2
Bid Size,100.0
Closing Price,18.13
Day Change $,0.8
Day Change %,0.0462
Day High,18.27
Day Low,17.57
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",2.2
Ex-dividend,2020-03-27 00:00:00
Ex-dividend Date,03/27/20
Historical Volatility,0.569
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,3.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.22
Prev Close,17.33
Short Interest,0.0454
Today's Open,17.62
Volume,2006966.0
Volume 10-day Avg,3322303.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-1.0672782874617737
Growth 1yr High Est,-0.4305949008498584
Growth 1yr Consensus Est,-0.748936594155816
Growth 2yr Low Est,-5.260911871003614
Growth 2yr High Est,0.02599608191337932
Growth 2yr Consensus Est,-2.6174578945451175
Growth 5yr Low Est,-2.6327286627745345
Growth 5yr High Est,0.02028667069429896
Growth 5yr Consensus Est,-1.3062209960401179
Growth 5yr Actual/Est,0.09084617356963204
Growth 3yr Historic,0.005066108564214966
Price/Earnings (TTM),8.22487
Price/Sales (TTM),0.44272
Price/Book (MRQ),0.71549
Price/Cash Flow (TTM),4.10693
5yr Low,15.01
5yr High,46.46
5yr Avg Return,-0.009266666666666671
EPS Growth 5yr,-0.056239800000000006
Revenue Growth 5yr,-0.0648826
Dividend Growth 5yr,0.0040487
Short Int Current Month,9229396.0
Short Int Prev Month,8663744.0
Short Int Pct of Float,0.0453724
Days to Cover,2.61521
Float,203.5887
Shares Outstanding,212.9352
Institutions Holding Shares,699.0
FCF Growth 5yr,-1.2558141444728355
"Price/Earnings (TTM, GAAP)",8.22
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3983
Operating Profit Margin (TTM),0.0932
Net Profit Margin (TTM),0.06280000000000001
Annual Dividend Yield,0.0552
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.0616
EPS Growth (MRQ),-1.0246
EPS Growth (TTM),0.1731
Revenue Growth (MRQ),-0.239
Revenue Growth (TTM),-0.0756
Return On Equity (TTM),0.0958
Return On Assets (TTM),0.037000000000000005
Return On Investment (TTM),0.0472
Revenue Per Employee (TTM),322963.0
Total Debt/Total Capital (MRQ),0.433
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),1.53
Interest Coverage (MRQ),9.07
newConstructs,3
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
theStreet,hold
cfra,3
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-21 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-23 00:00:00
cfra since,2019-02-22 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,2019-04-11 00:00:00
