,DISCA
% Above Low,0.2316
% Held by Institutions,1.2001
52-Wk Range,['17.12 - 33.66']
Annual Dividend $,
Annual Dividend %,
Ask,21.4
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,1.6
Bid,21.0
Bid Size,200.0
Closing Price,21.09
Day Change $,0.555
Day Change %,0.027000000000000003
Day High,21.51
Day Low,20.79
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.9
Ex-dividend Date,No dividend
Historical Volatility,0.44200000000000006
Last (size),200.0
Last (time),4:00p ET 05/08/20
Market Cap,10.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.07
Prev Close,20.53
Short Interest,0.23379999999999998
Today's Open,21.03
Volume,6249676.0
Volume 10-day Avg,6315434.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.4566473988439307
Growth 1yr High Est,-0.026881720430107503
Growth 1yr Consensus Est,-0.2417645596370191
Growth 2yr Low Est,-0.0873662526134546
Growth 2yr High Est,0.09843759282362019
Growth 2yr Consensus Est,0.005535670105082796
Growth 5yr Low Est,0.15947507598821528
Growth 5yr High Est,0.2216114032971559
Growth 5yr Consensus Est,0.1905432396426856
Growth 5yr Actual/Est,0.19378426704838622
Growth 3yr Historic,0.21483537041656275
Price/Earnings (TTM),7.07348
Price/Sales (TTM),0.89951
Price/Book (MRQ),1.09912
Price/Cash Flow (TTM),1.78873
5yr Low,15.99
5yr High,34.94
5yr Avg Return,-0.03791666666666666
EPS Growth 5yr,0.11711360000000001
Revenue Growth 5yr,0.1220805
Dividend Growth 5yr,
Short Int Current Month,35806821.0
Short Int Prev Month,38329849.0
Short Int Pct of Float,0.23384
Days to Cover,7.62991
Float,479.2572
Shares Outstanding,506.6936
Institutions Holding Shares,805.0
FCF Growth 5yr,0.2294696810210352
"Price/Earnings (TTM, GAAP)",7.07
"PEG Ratio (TTM, GAAP)",0.61
Gross Profit Margin (TTM),0.6638
Operating Profit Margin (TTM),0.269
Net Profit Margin (TTM),0.198
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1815
EPS Growth (TTM),1.1225
Revenue Growth (MRQ),-0.0665
Revenue Growth (TTM),0.0152
Return On Equity (TTM),0.16920000000000002
Return On Assets (TTM),0.0669
Return On Investment (TTM),0.0793
Revenue Per Employee (TTM),1208696.0
Total Debt/Total Capital (MRQ),0.5819
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.31
newConstructs,2
researchTeam,reduce
theStreet,hold
cfra,3
creditSuisse,outperform
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2020-03-19 00:00:00
cfra since,2020-05-07 00:00:00
creditSuisse since,2018-10-10 00:00:00
ford since,2020-02-14 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
