,DISCA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.07,15.32,Valuation,0.4614882506527415
Price/Sales (TTM),0.9,73.47,Valuation,0.012249897917517355
Price/Book (MRQ),1.1,2.55,Valuation,0.4313725490196079
"PEG Ratio (TTM, GAAP)",0.61,0.65,Valuation,0.9384615384615385
Gross Profit Margin (TTM),0.6638,0.5417000000000001,Profitability,1.2254015137529997
Operating Profit Margin (TTM),0.269,-0.2403,Profitability,-1.1194340407823553
Net Profit Margin (TTM),0.198,0.4648,Profitability,0.4259896729776248
Annual Dividend Yield,,0.0146,Dividend,
Dividend Change %,,0.0521,Dividend,
"Dividend Growth Rate, 3 Years",,0.09640000000000001,Dividend,
EPS Growth (MRQ),-0.1815,-0.7004,Gowth rates,0.25913763563677894
EPS Growth (TTM),1.1225,0.2348,Gowth rates,4.780664395229983
Revenue Growth (MRQ),-0.0665,0.0638,Gowth rates,-1.042319749216301
Revenue Growth (TTM),0.0152,0.0994,Gowth rates,0.1529175050301811
Return On Equity (TTM),0.16920000000000002,0.1054,Effectiveness,1.6053130929791275
Return On Assets (TTM),0.0669,0.034100000000000005,Effectiveness,1.9618768328445746
Return On Investment (TTM),0.0793,0.0432,Effectiveness,1.835648148148148
Revenue Per Employee (TTM),1208696.0,610288.0,Effectiveness,1.9805337807723566
Total Debt/Total Capital (MRQ),0.5819,0.579,Financial strength,1.0050086355785839
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0015,Financial strength,-0.46666666666666673
Quick Ratio (MRQ),,0.2,Financial strength,
Interest Coverage (MRQ),3.31,30.06,Financial strength,0.11011310711909515
