,KEYS
Next Earnings Announcement,2020-05-26 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.15570175438596479
Growth 1yr High Est,0.19565217391304368
Growth 1yr Consensus Est,0.019975209763539448
Growth 2yr Low Est,-0.15057814992025514
Growth 2yr High Est,0.12600790513834004
Growth 2yr Consensus Est,-0.012285122390957554
Growth 5yr Low Est,0.10846288736326329
Growth 5yr High Est,0.24391628112869107
Growth 5yr Consensus Est,0.17618958424597717
Growth 5yr Actual/Est,0.21968614210557225
Growth 3yr Historic,0.18435563363099594
