,2015,2016,2017,2018,2019,2020,Report
high,36.31,38.28,45.65,70.4,110.0,106.82,
low,27.75,21.07,35.05,41.6,58.24,77.93,
change,-0.18100000000000002,0.3093,0.1366,0.4816,0.6778000000000001,-0.030299999999999997,
Date,2015-10-31 00:00:00,2016-10-31 00:00:00,2017-10-31 00:00:00,2018-10-31 00:00:00,2019-10-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,483.0,783.0,818.0,913.0,1598.0,,Balance Sheet
"Total Receivables, Net",398.0,437.0,547.0,624.0,668.0,,Balance Sheet
Invent. - Finished Goods,235.0,218.0,286.0,283.0,317.0,,Balance Sheet
Invent. - Work In Progress,252.0,256.0,302.0,336.0,388.0,,Balance Sheet
Total Inventory,487.0,474.0,588.0,619.0,705.0,,Balance Sheet
Deferred Income Tax,74.0,,,,,,Balance Sheet
Other Current Assets,137.0,160.0,224.0,222.0,244.0,,Balance Sheet
"Other Curr. Assets, Total",211.0,160.0,224.0,222.0,244.0,,Balance Sheet
Total Current Assets,1579.0,1854.0,2177.0,2378.0,3215.0,,Balance Sheet
Buildings,653.0,,678.0,695.0,721.0,,Balance Sheet
Land/Improvements,61.0,,63.0,63.0,65.0,,Balance Sheet
Machinery/Equipment,915.0,,1008.0,1074.0,1137.0,,Balance Sheet
Prop./Plant/Equip. - Gross,1629.0,,1749.0,1832.0,1923.0,,Balance Sheet
Accumulated Depreciation,-1111.0,,-1219.0,-1277.0,-1347.0,,Balance Sheet
Prop./Plant/Equip. - Net,518.0,512.0,530.0,555.0,576.0,,Balance Sheet
"Goodwill, Net",700.0,736.0,1882.0,1171.0,1209.0,,Balance Sheet
Intangibles - Gross,405.0,410.0,1188.0,1187.0,1242.0,,Balance Sheet
Accum. Intangible Amort.,-159.0,-202.0,-333.0,-542.0,-752.0,,Balance Sheet
Intangibles - Net,246.0,208.0,855.0,645.0,490.0,,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,37.0,,Balance Sheet
LT Investments - Other,70.0,55.0,63.0,46.0,9.0,,Balance Sheet
Long Term Investments,70.0,55.0,63.0,46.0,46.0,,Balance Sheet
Other Long Term Assets,100.0,39.0,240.0,279.0,332.0,,Balance Sheet
Total Assets,3508.0,3796.0,5933.0,5824.0,6623.0,,Balance Sheet
Accounts Payable,209.0,189.0,211.0,242.0,253.0,,Balance Sheet
Accrued Expenses,242.0,226.0,277.0,338.0,355.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,11.0,500.0,0.0,,Balance Sheet
Customer Advances,175.0,180.0,291.0,334.0,334.0,,Balance Sheet
Income Taxes Payable,50.0,41.0,28.0,42.0,55.0,,Balance Sheet
Other Current Liabilities,10.0,8.0,1.0,6.0,6.0,,Balance Sheet
"Other Curr. Lblts, Total",235.0,229.0,320.0,382.0,395.0,,Balance Sheet
Total Current Liabilities,686.0,644.0,819.0,1462.0,1003.0,,Balance Sheet
Long Term Debt,1099.0,1093.0,2038.0,1291.0,1788.0,,Balance Sheet
Capital Lease Obligations,,,4.0,4.0,4.0,,Balance Sheet
Total Long Term Debt,1099.0,1093.0,2042.0,1295.0,1792.0,,Balance Sheet
Total Debt,1099.0,1093.0,2053.0,1795.0,1792.0,,Balance Sheet
Pension Benefits - Underfunded,280.0,405.0,309.0,224.0,357.0,,Balance Sheet
Other LT Liabilities,141.0,141.0,453.0,410.0,467.0,,Balance Sheet
"Other Liabilities, Total",421.0,546.0,762.0,634.0,824.0,,Balance Sheet
Total Liabilities,2206.0,2283.0,3623.0,3391.0,3619.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Common Stock,2.0,2.0,2.0,2.0,2.0,,Balance Sheet
Additional Paid-In Capital,1165.0,1242.0,1786.0,1889.0,2013.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),614.0,949.0,1041.0,1212.0,1909.0,,Balance Sheet
Treasury Stock - Common,,-62.0,-62.0,-182.0,-342.0,,Balance Sheet
Unrealized Gain (Loss),21.0,60.0,14.0,0.0,0.0,,Balance Sheet
Cum. Trans. Adjustment,-48.0,-29.0,-39.0,-60.0,-43.0,,Balance Sheet
Min. Pension Lblty Adj.,-446.0,-646.0,-433.0,-426.0,-532.0,,Balance Sheet
Other Comprehensive Income,-6.0,-3.0,1.0,-2.0,-3.0,,Balance Sheet
"Other Equity, Total",-500.0,-678.0,-471.0,-488.0,-578.0,,Balance Sheet
Total Equity,1302.0,1513.0,2310.0,2433.0,3004.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,3508.0,3796.0,5933.0,5824.0,6623.0,,Balance Sheet
Ttl Comm. Shares Outs.,170.0,170.0,186.0,187.0,188.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,0.0,2.0,2.0,4.0,7.0,,Balance Sheet
Date,2015-10-31 00:00:00,2016-10-31 00:00:00,2017-10-31 00:00:00,2018-10-31 00:00:00,2019-10-31 00:00:00,,Income Statement
Total Revenue,2856.0,2918.0,3189.0,3878.0,4303.0,,Income Statement
"Cost of Revenue, Total",1269.0,1294.0,1492.0,1767.0,1769.0,,Income Statement
Selling/Gen/Admin Expense,753.0,788.0,1022.0,1167.0,1103.0,,Income Statement
Labor & Related Expense,34.0,30.0,36.0,38.0,52.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",787.0,818.0,1058.0,1205.0,1155.0,,Income Statement
Research & Development,387.0,425.0,507.0,624.0,688.0,,Income Statement
Restructuring Charge,0.0,0.0,,,,,Income Statement
Impair-Assets Held for Use,,,0.0,709.0,0.0,,Income Statement
Unusual Expense (Income),0.0,0.0,0.0,709.0,0.0,,Income Statement
"Other Operat Expse, Total",-18.0,-25.0,-16.0,-33.0,-20.0,,Income Statement
Total Operating Expense,2425.0,2512.0,3041.0,4272.0,3592.0,,Income Statement
Total Operating Income,431.0,406.0,148.0,-394.0,711.0,,Income Statement
"Inter Expse,Net Non-Operat",-46.0,-47.0,-80.0,-83.0,-80.0,,Income Statement
"Inter Income, Non-Operating",1.0,3.0,7.0,12.0,23.0,,Income Statement
"Invest Income, Non-Operat",,,6.0,4.0,-5.0,,Income Statement
"Inter/Invest Inc, Non-Oper",1.0,3.0,13.0,16.0,18.0,,Income Statement
OtherNon-OperatInc (Expnse),2.0,4.0,98.0,50.0,66.0,,Income Statement
"Other, Net",2.0,4.0,98.0,50.0,66.0,,Income Statement
Income Before Tax,388.0,366.0,179.0,-411.0,715.0,,Income Statement
Income Tax - Total,-125.0,31.0,77.0,-576.0,94.0,,Income Statement
Income After Tax,513.0,335.0,102.0,165.0,621.0,,Income Statement
Net Inc Before Extra Items,513.0,335.0,102.0,165.0,621.0,,Income Statement
Total Net Income,513.0,335.0,102.0,165.0,621.0,,Income Statement
Income Available to Common Excl. Extra. Items,513.0,335.0,102.0,165.0,621.0,,Income Statement
Income Available to Common Incl. Extra. Items,513.0,335.0,102.0,165.0,621.0,,Income Statement
Basic/Primary Weighted Average Shares,169.0,170.0,180.0,187.0,188.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,3.04,1.97,0.57,0.88,3.3,,Income Statement
Basic/Primary EPS Incl. Extra. Items,3.04,1.97,0.57,0.88,3.3,,Income Statement
Diluted Weighted Average Shares,171.0,172.0,182.0,191.0,191.0,,Income Statement
Diluted EPS Excl. Extra. Items,3.0,1.95,0.56,0.86,3.25,,Income Statement
Diluted EPS Incl. Extra. Items,3.0,1.95,0.56,0.86,3.25,,Income Statement
Div/Share-ComStockPrimIssue,0.0,0.0,,,,,Income Statement
Gross Divid - Common Stock,0.0,0.0,0.0,0.0,0.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",46.0,47.0,80.0,83.0,80.0,,Income Statement
"Depreciat/Amort, Suppl",84.0,91.0,92.0,103.0,96.0,,Income Statement
Total Special Items,37.0,42.0,88.0,782.0,17.0,,Income Statement
Normalzd Income Before Tax,425.0,408.0,267.0,371.0,732.0,,Income Statement
Efct/SpecItemsIncTxs (STEC),13.0,4.0,38.0,274.0,2.0,,Income Statement
IncTxsExcl ImpctofSpec Itms,-112.0,35.0,115.0,-302.0,96.0,,Income Statement
Normalized Income After Tax,537.0,373.0,152.0,673.0,636.0,,Income Statement
Normalzd Inc Avail to Common,537.0,373.0,152.0,673.0,636.0,,Income Statement
Basic Normalized EPS,3.18,2.2,0.85,3.6,3.38,,Income Statement
Diluted Normalized EPS,3.14,2.17,0.84,3.53,3.33,,Income Statement
Date,2015-10-31 00:00:00,2016-10-31 00:00:00,2017-10-31 00:00:00,2018-10-31 00:00:00,2019-10-31 00:00:00,,Cash Flow
Net Income,513.0,335.0,102.0,165.0,621.0,,Cash Flow
Depreciation/Depletion,99.0,85.0,92.0,103.0,96.0,,Cash Flow
Amortization,,49.0,133.0,207.0,212.0,,Cash Flow
Deferred Taxes,-163.0,17.0,-47.0,-789.0,-2.0,,Cash Flow
Unusual Items,0.0,-10.0,-8.0,689.0,-1.0,,Cash Flow
Other Non-Cash Items,93.0,70.0,29.0,100.0,107.0,,Cash Flow
