,KEYS
% Below High,0.08460000000000001
% Held by Institutions,0.912
52-Wk Range,['71.03 - 110.00']
Annual Dividend $,
Annual Dividend %,
Ask,101.9
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.1
Bid,100.69
Bid Size,100.0
Closing Price,100.69
Day Change $,3.7
Day Change %,0.0381
Day High,101.0
Day Low,97.84
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.47
Ex-dividend Date,No dividend
Historical Volatility,0.483
Last (size),3.0
Last (time),6:30p ET 05/08/20
Market Cap,18.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.98
Prev Close,96.99
Short Interest,0.044500000000000005
Today's Open,98.18
Volume,1182092.0
Volume 10-day Avg,1169093.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-26 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.15570175438596479
Growth 1yr High Est,0.19565217391304368
Growth 1yr Consensus Est,0.019975209763539448
Growth 2yr Low Est,-0.15057814992025514
Growth 2yr High Est,0.12600790513834004
Growth 2yr Consensus Est,-0.012285122390957554
Growth 5yr Low Est,0.10846288736326329
Growth 5yr High Est,0.24391628112869107
Growth 5yr Consensus Est,0.17618958424597717
Growth 5yr Actual/Est,0.21968614210557225
Growth 3yr Historic,0.18435563363099594
Price/Earnings (TTM),27.98359
Price/Sales (TTM),4.13831
Price/Book (MRQ),5.82498
Price/Cash Flow (TTM),18.66065
5yr Low,21.07
5yr High,110.0
5yr Avg Return,0.23233333333333334
EPS Growth 5yr,0.06732719999999999
Revenue Growth 5yr,0.079672
Dividend Growth 5yr,
Short Int Current Month,8296449.0
Short Int Prev Month,8359085.0
Short Int Pct of Float,0.0445237
Days to Cover,6.59901
Float,186.5714
Shares Outstanding,187.3954
Institutions Holding Shares,953.0
FCF Growth 5yr,0.33291201478968374
"Price/Earnings (TTM, GAAP)",27.98
"PEG Ratio (TTM, GAAP)",3.06
Gross Profit Margin (TTM),0.5945
Operating Profit Margin (TTM),0.18059999999999998
Net Profit Margin (TTM),0.1507
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1641
EPS Growth (TTM),3.0016000000000003
Revenue Growth (MRQ),-0.0223
Revenue Growth (TTM),0.0852
Return On Equity (TTM),0.22890000000000002
Return On Assets (TTM),0.1033
Return On Investment (TTM),0.12689999999999999
Revenue Per Employee (TTM),322941.0
Total Debt/Total Capital (MRQ),0.3638
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),2.64
Interest Coverage (MRQ),13.31
newConstructs,3
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,3
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-08-23 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2019-02-22 00:00:00
cfra since,2019-08-23 00:00:00
ford since,2020-03-27 00:00:00
creditSuisse since,2017-05-08 00:00:00
