,Industry,KEYS,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",31.71,27.98,Valuation,0.8823714916430148
Price/Sales (TTM),3.09,4.14,Valuation,1.3398058252427183
Price/Book (MRQ),4.45,5.82,Valuation,1.3078651685393259
"PEG Ratio (TTM, GAAP)",3.51,3.06,Valuation,0.8717948717948719
Gross Profit Margin (TTM),0.3607,0.5945,Profitability,1.6481840864984751
Operating Profit Margin (TTM),0.0696,0.18059999999999998,Profitability,2.5948275862068964
Net Profit Margin (TTM),0.050499999999999996,0.1507,Profitability,2.9841584158415846
Annual Dividend Yield,0.010700000000000001,,Dividend,
Dividend Change %,0.0703,,Dividend,
"Dividend Growth Rate, 3 Years",0.0859,,Dividend,
EPS Growth (MRQ),-0.5093,-0.1641,Gowth rates,0.32220695071666994
EPS Growth (TTM),-0.0904,3.0016000000000003,Gowth rates,-33.20353982300885
Revenue Growth (MRQ),-0.0016,-0.0223,Gowth rates,13.9375
Revenue Growth (TTM),0.0201,0.0852,Gowth rates,4.2388059701492535
Return On Equity (TTM),-0.009000000000000001,0.22890000000000002,Effectiveness,-25.433333333333334
Return On Assets (TTM),0.0556,0.1033,Effectiveness,1.8579136690647484
Return On Investment (TTM),0.0645,0.12689999999999999,Effectiveness,1.967441860465116
Revenue Per Employee (TTM),334898.0,322941.0,Effectiveness,0.9642965917980997
Total Debt/Total Capital (MRQ),0.3699,0.3638,Financial strength,0.9835090565017572
Change in Debt/Total Capital Quarter over Quarter,0.0004,-0.0013000000000000002,Financial strength,-3.2500000000000004
Quick Ratio (MRQ),1.96,2.64,Financial strength,1.3469387755102042
Interest Coverage (MRQ),16.32,13.31,Financial strength,0.8155637254901961
