,TRV
% Above Low,0.2643
% Held by Institutions,0.8210999999999999
52-Wk Range,['76.99 - 155.09']
Annual Dividend $,3.4
Annual Dividend %,0.0355
Ask,101.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,92.79
Bid Size,100.0
Closing Price,97.34
Day Change $,1.54
Day Change %,0.0161
Day High,97.62
Day Low,95.51
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",9.27
Ex-dividend,2020-06-09 00:00:00
Ex-dividend Date,06/09/20
Historical Volatility,0.446
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,24.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.5
Prev Close,95.8
Short Interest,0.0173
Today's Open,97.5
Volume,1125160.0
Volume 10-day Avg,1688749.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.3606741573033707
Growth 1yr High Est,0.02941176470588247
Growth 1yr Consensus Est,-0.16563119629874412
Growth 2yr Low Est,0.1456734661637803
Growth 2yr High Est,0.07899159663865551
Growth 2yr Consensus Est,0.1123325314012179
Growth 5yr Low Est,0.1216431873339557
Growth 5yr High Est,0.05696427528310233
Growth 5yr Consensus Est,0.08930373130852902
Growth 5yr Actual/Est,0.09953674373300259
Growth 3yr Historic,0.07546187034442065
Price/Earnings (TTM),10.50395
Price/Sales (TTM),0.77303
Price/Book (MRQ),0.97634
Price/Cash Flow (TTM),7.73689
5yr Low,76.99
5yr High,155.09
5yr Avg Return,0.010366666666666665
EPS Growth 5yr,-0.0149631
Revenue Growth 5yr,0.0303444
Dividend Growth 5yr,0.0865296
Short Int Current Month,4366054.0
Short Int Prev Month,4826404.0
Short Int Pct of Float,0.0173242
Days to Cover,2.37987
Float,252.1039
Shares Outstanding,252.8358
Institutions Holding Shares,1405.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",10.5
"PEG Ratio (TTM, GAAP)",26.73
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1015
Net Profit Margin (TTM),0.0762
Annual Dividend Yield,0.0349
Dividend Change %,0.0671
"Dividend Growth Rate, 3 Years",0.075
EPS Growth (MRQ),-0.30460000000000004
EPS Growth (TTM),-0.0587
Revenue Growth (MRQ),-0.0175
Revenue Growth (TTM),0.0381
Return On Equity (TTM),0.09720000000000001
Return On Assets (TTM),0.022400000000000003
Return On Investment (TTM),
Revenue Per Employee (TTM),1033669.0
Total Debt/Total Capital (MRQ),0.2065
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),23.79
newConstructs,2
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
theStreet,hold
cfra,3
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-24 00:00:00
cfra since,2019-07-23 00:00:00
ford since,2018-11-16 00:00:00
creditSuisse since,2015-03-31 00:00:00
