,Industry,TRV,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.82,10.5,Valuation,0.8883248730964467
Price/Sales (TTM),3.58,0.77,Valuation,0.21508379888268156
Price/Book (MRQ),2.11,0.98,Valuation,0.46445497630331756
"PEG Ratio (TTM, GAAP)",0.14,26.73,Valuation,190.92857142857142
Gross Profit Margin (TTM),0.0168,,Profitability,
Operating Profit Margin (TTM),0.0969,0.1015,Profitability,1.0474716202270382
Net Profit Margin (TTM),0.065,0.0762,Profitability,1.1723076923076923
Annual Dividend Yield,0.026600000000000002,0.0349,Dividend,1.3120300751879699
Dividend Change %,0.0629,0.0671,Dividend,1.0667726550079493
"Dividend Growth Rate, 3 Years",0.1051,0.075,Dividend,0.7136060894386299
EPS Growth (MRQ),-0.217,-0.30460000000000004,Gowth rates,1.4036866359447007
EPS Growth (TTM),0.8533,-0.0587,Gowth rates,-0.0687917496777218
Revenue Growth (MRQ),0.1638,-0.0175,Gowth rates,-0.10683760683760685
Revenue Growth (TTM),0.109,0.0381,Gowth rates,0.3495412844036697
Return On Equity (TTM),0.1097,0.09720000000000001,Effectiveness,0.886052871467639
Return On Assets (TTM),0.0278,0.022400000000000003,Effectiveness,0.8057553956834534
Return On Investment (TTM),0.015600000000000001,,Effectiveness,
Revenue Per Employee (TTM),1325439.0,1033669.0,Effectiveness,0.7798691603310299
Total Debt/Total Capital (MRQ),0.2691,0.2065,Financial strength,0.767372723894463
Change in Debt/Total Capital Quarter over Quarter,0.0003,-0.0009,Financial strength,-3.0
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),10.21,23.79,Financial strength,2.3300685602350635
