,RE
% Above Low,0.1069
% Held by Institutions,0.804
52-Wk Range,['159.73 - 294.31']
Annual Dividend $,6.2
Annual Dividend %,0.035699999999999996
Ask,295.0
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.4
Bid,135.57
Bid Size,100.0
Closing Price,176.8
Day Change $,2.97
Day Change %,0.0171
Day High,178.06
Day Low,172.67
Dividend Pay Date,2020-03-30 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2020-03-10 00:00:00
Ex-dividend Date,03/10/20
Historical Volatility,0.43200000000000005
Last (size),6.0
Last (time),6:30p ET 05/08/20
Market Cap,8.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,173.83
Short Interest,0.0149
Today's Open,177.02
Volume,312082.0
Volume 10-day Avg,408400.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.25129802699896164
Growth 1yr High Est,-0.06263982102908283
Growth 1yr Consensus Est,-0.15696892401402224
Growth 2yr Low Est,0.03281145806778679
Growth 2yr High Est,0.08371588900813165
Growth 2yr Consensus Est,0.05826367353795922
Growth 5yr Low Est,2.745683829188049
Growth 5yr High Est,0.8901888580848359
Growth 5yr Consensus Est,1.8179363436364422
Growth 5yr Actual/Est,0.8097327727995851
Growth 3yr Historic,0.7750590807042419
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),0.8239
Price/Cash Flow (TTM),
5yr Low,159.73
5yr High,294.31
5yr Avg Return,0.020466666666666654
EPS Growth 5yr,-0.009581
Revenue Growth 5yr,0.0719573
Dividend Growth 5yr,0.1243553
Short Int Current Month,737349.0
Short Int Prev Month,750391.0
Short Int Pct of Float,0.014865
Days to Cover,2.26929
Float,50.20575
Shares Outstanding,50.31058
Institutions Holding Shares,662.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,0.0351
Dividend Change %,0.0849
"Dividend Growth Rate, 3 Years",0.0695
EPS Growth (MRQ),
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.0737
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,reduce
theStreet,hold
marketEdge opinion,avoid
marketEdge,0
cfra,3
creditSuisse,neutral
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
theStreet since,2020-04-06 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2017-04-25 00:00:00
creditSuisse since,2018-08-07 00:00:00
ford since,2020-03-06 00:00:00
