,IPG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.55,15.32,Valuation,0.6233681462140993
Price/Sales (TTM),0.62,73.47,Valuation,0.008438818565400843
Price/Book (MRQ),2.5,2.55,Valuation,0.9803921568627452
"PEG Ratio (TTM, GAAP)",,0.65,Valuation,
Gross Profit Margin (TTM),0.1437,0.5417000000000001,Profitability,0.26527598301642974
Operating Profit Margin (TTM),0.10310000000000001,-0.2403,Profitability,-0.42904702455264254
Net Profit Margin (TTM),0.0671,0.4648,Profitability,0.1443631669535284
Annual Dividend Yield,0.06269999999999999,0.0146,Dividend,4.294520547945205
Dividend Change %,0.11900000000000001,0.0521,Dividend,2.284069097888676
"Dividend Growth Rate, 3 Years",0.16140000000000002,0.09640000000000001,Dividend,1.6742738589211617
EPS Growth (MRQ),-0.9856,-0.7004,Gowth rates,1.4071958880639635
EPS Growth (TTM),0.0625,0.2348,Gowth rates,0.2661839863713799
Revenue Growth (MRQ),-0.1868,0.0638,Gowth rates,-2.927899686520376
Revenue Growth (TTM),0.0316,0.0994,Gowth rates,0.3179074446680081
Return On Equity (TTM),0.2759,0.1054,Effectiveness,2.6176470588235294
Return On Assets (TTM),0.0422,0.034100000000000005,Effectiveness,1.2375366568914954
Return On Investment (TTM),0.0818,0.0432,Effectiveness,1.8935185185185184
Revenue Per Employee (TTM),188212.0,610288.0,Effectiveness,0.30839865768293
Total Debt/Total Capital (MRQ),0.6074,0.579,Financial strength,1.049050086355786
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0015,Financial strength,0.3333333333333333
Quick Ratio (MRQ),,0.2,Financial strength,
Interest Coverage (MRQ),2.23,30.06,Financial strength,0.0741849634065203
