,IPG
% Above Low,0.4893
% Held by Institutions,1.0131999999999999
52-Wk Range,['11.63 - 25.20']
Annual Dividend $,1.02
Annual Dividend %,0.06269999999999999
Ask,19.53
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,16.58
Bid Size,200.0
Closing Price,17.32
Day Change $,1.05
Day Change %,0.0645
Day High,17.4
Day Low,16.52
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",1.7
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.49100000000000005
Last (size),1100.0
Last (time),6:30p ET 05/08/20
Market Cap,6.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.55
Prev Close,16.27
Short Interest,0.056900000000000006
Today's Open,16.63
Volume,4653165.0
Volume 10-day Avg,5311973.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.37297297297297305
Growth 1yr High Est,-0.22395833333333326
Growth 1yr Consensus Est,-0.29846565315315315
Growth 2yr Low Est,-0.04424510717614166
Growth 2yr High Est,-0.00795232102908272
Growth 2yr Consensus Est,-0.02609871410261219
Growth 5yr Low Est,0.06546868728784158
Growth 5yr High Est,0.07935717281879195
Growth 5yr Consensus Est,0.07241293005331677
Growth 5yr Actual/Est,0.06957668411866097
Growth 3yr Historic,0.08919583619309085
Price/Earnings (TTM),9.55418
Price/Sales (TTM),0.62026
Price/Book (MRQ),2.50234
Price/Cash Flow (TTM),6.56417
5yr Low,11.63
5yr High,26.01
5yr Avg Return,-0.011516666666666666
EPS Growth 5yr,0.083774
Revenue Growth 5yr,0.0628216
Dividend Growth 5yr,0.19858499999999998
Short Int Current Month,22003038.0
Short Int Prev Month,21007653.0
Short Int Pct of Float,0.0568863
Days to Cover,4.21014
Float,387.0653
Shares Outstanding,389.6139
Institutions Holding Shares,748.0
FCF Growth 5yr,0.5760204962173097
"Price/Earnings (TTM, GAAP)",9.55
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1437
Operating Profit Margin (TTM),0.10310000000000001
Net Profit Margin (TTM),0.0671
Annual Dividend Yield,0.06269999999999999
Dividend Change %,0.11900000000000001
"Dividend Growth Rate, 3 Years",0.16140000000000002
EPS Growth (MRQ),-0.9856
EPS Growth (TTM),0.0625
Revenue Growth (MRQ),-0.1868
Revenue Growth (TTM),0.0316
Return On Equity (TTM),0.2759
Return On Assets (TTM),0.0422
Return On Investment (TTM),0.0818
Revenue Per Employee (TTM),188212.0
Total Debt/Total Capital (MRQ),0.6074
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.23
newConstructs,2
researchTeam,reduce
theStreet,hold
cfra,3
ford,3
marketEdge opinion,avoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
theStreet since,2020-03-20 00:00:00
cfra since,2019-10-23 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
