,CVS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.13,22.76,Valuation,0.4890158172231986
Price/Sales (TTM),0.31,10.65,Valuation,0.029107981220657275
Price/Book (MRQ),1.23,6.03,Valuation,0.20398009950248755
"PEG Ratio (TTM, GAAP)",1.84,62.83,Valuation,0.02928537322934904
Gross Profit Margin (TTM),0.3821,0.1463,Profitability,2.6117566643882433
Operating Profit Margin (TTM),0.0484,0.028300000000000002,Profitability,1.7102473498233213
Net Profit Margin (TTM),0.0276,0.0068000000000000005,Profitability,4.0588235294117645
Annual Dividend Yield,0.0325,0.0122,Dividend,2.663934426229508
Dividend Change %,0.0,0.10099999999999999,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.055700000000000006,0.10400000000000001,Dividend,0.5355769230769231
EPS Growth (MRQ),0.146,0.608,Gowth rates,0.24013157894736842
EPS Growth (TTM),11.3802,0.0036,Gowth rates,3161.166666666667
Revenue Growth (MRQ),-0.002,0.1227,Gowth rates,-0.016299918500407497
Revenue Growth (TTM),0.2414,0.21739999999999998,Gowth rates,1.110395584176633
Return On Equity (TTM),0.11570000000000001,0.1627,Effectiveness,0.7111247695144438
Return On Assets (TTM),0.032,0.050800000000000005,Effectiveness,0.6299212598425197
Return On Investment (TTM),0.0425,0.016200000000000003,Effectiveness,2.6234567901234565
Revenue Per Employee (TTM),903052.0,1202685.0,Effectiveness,0.7508632767516016
Total Debt/Total Capital (MRQ),0.5231,0.4826,Financial strength,1.083920430998757
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0022,Financial strength,-0.36363636363636365
Quick Ratio (MRQ),0.7,0.37,Financial strength,1.8918918918918919
Interest Coverage (MRQ),4.81,10.31,Financial strength,0.4665373423860329
