,CVS
% Above Low,0.22039999999999998
% Held by Institutions,0.7574
52-Wk Range,['51.72 - 77.03']
Annual Dividend $,2.0
Annual Dividend %,0.0325
Ask,63.3
Ask Size,200.0
B/A Ratio,3.5
B/A Size,700x200
Beta,0.7
Bid,63.2
Bid Size,700.0
Change Since Close,0.08| |(0.13%)
Closing Price,63.12
Day Change $,1.67
Day Change %,0.027200000000000002
Day High,63.23
Day Low,61.76
Dividend Pay Date,2020-05-04 00:00:00
"EPS (TTM, GAAP)",5.52
Ex-dividend,2020-04-22 00:00:00
Ex-dividend Date,04/22/20
Historical Volatility,0.371
Last (size),25.0
Last (time),6:30p ET 05/08/20
Last Trade,63.2
Market Cap,82.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.13
Prev Close,61.45
Short Interest,0.0116
Today's Open,62.16
Volume,7322623.0
Volume 10-day Avg,8240033.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.040000000000000036
Growth 1yr High Est,0.06338028169014098
Growth 1yr Consensus Est,0.011690140845070474
Growth 2yr Low Est,0.003809523809523818
Growth 2yr High Est,0.04957093554705727
Growth 2yr Consensus Est,0.026690229678290545
Growth 5yr Low Est,0.04999266144814091
Growth 5yr High Est,0.07526765374664596
Growth 5yr Consensus Est,0.06263015759739343
Growth 5yr Actual/Est,0.0655153076267202
Growth 3yr Historic,0.04999999999999999
Price/Earnings (TTM),11.12584
Price/Sales (TTM),0.3067
Price/Book (MRQ),1.23108
Price/Cash Flow (TTM),6.94876
5yr Low,51.72
5yr High,113.65
5yr Avg Return,-0.06801666666666667
EPS Growth 5yr,0.05050639999999999
Revenue Growth 5yr,0.1300012
Dividend Growth 5yr,0.1270092
Short Int Current Month,15097495.0
Short Int Prev Month,17670312.0
Short Int Pct of Float,0.011587700000000001
Days to Cover,1.55332
Float,1303.066
Shares Outstanding,1307.091
Institutions Holding Shares,2251.0
FCF Growth 5yr,0.14439403726422034
"Price/Earnings (TTM, GAAP)",11.13
"PEG Ratio (TTM, GAAP)",1.84
Gross Profit Margin (TTM),0.3821
Operating Profit Margin (TTM),0.0484
Net Profit Margin (TTM),0.0276
Annual Dividend Yield,0.0325
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.055700000000000006
EPS Growth (MRQ),0.146
EPS Growth (TTM),11.3802
Revenue Growth (MRQ),-0.002
Revenue Growth (TTM),0.2414
Return On Equity (TTM),0.11570000000000001
Return On Assets (TTM),0.032
Return On Investment (TTM),0.0425
Revenue Per Employee (TTM),903052.0
Total Debt/Total Capital (MRQ),0.5231
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),0.7
Interest Coverage (MRQ),4.81
newConstructs,2
researchTeam,hold
creditSuisse,neutral
theStreet,buy
cfra,5
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
creditSuisse since,2019-04-29 00:00:00
theStreet since,2019-09-10 00:00:00
cfra since,2018-10-11 00:00:00
ford since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
