,WAB
% Above Low,0.6344
% Held by Institutions,1.0259
52-Wk Range,['35.07 - 81.75']
Annual Dividend $,0.48
Annual Dividend %,0.0087
Ask,58.5
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.5
Bid,54.0
Bid Size,100.0
Closing Price,57.32
Day Change $,2.06
Day Change %,0.0373
Day High,57.38
Day Low,56.01
Dividend Pay Date,2020-05-22 00:00:00
"EPS (TTM, GAAP)",2.31
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.515
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,10.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.84
Prev Close,55.26
Short Interest,0.030299999999999997
Today's Open,56.12
Volume,1060140.0
Volume 10-day Avg,1605180.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.25060827250608275
Growth 1yr High Est,0.02594339622641506
Growth 1yr Consensus Est,-0.11233243813983385
Growth 2yr Low Est,-0.057122318071223255
Growth 2yr High Est,0.06929353719366738
Growth 2yr Consensus Est,0.006085609561222061
Growth 5yr Low Est,0.019718720350353325
Growth 5yr High Est,0.08497714881093482
Growth 5yr Consensus Est,0.05234793458064407
Growth 5yr Actual/Est,0.06484602389093042
Growth 3yr Historic,0.051318840247009945
Price/Earnings (TTM),24.83751
Price/Sales (TTM),1.27776
Price/Book (MRQ),1.11729
Price/Cash Flow (TTM),12.08045
5yr Low,35.07
5yr High,115.4
5yr Avg Return,-0.06851666666666667
EPS Growth 5yr,-0.1261065
Revenue Growth 5yr,0.21916049999999998
Dividend Growth 5yr,0.1913579
Short Int Current Month,5453813.0
Short Int Prev Month,5830660.0
Short Int Pct of Float,0.0302789
Days to Cover,4.02663
Float,179.3233
Shares Outstanding,190.2886
Institutions Holding Shares,1006.0
FCF Growth 5yr,0.6420264479315361
"Price/Earnings (TTM, GAAP)",24.84
"PEG Ratio (TTM, GAAP)",3.91
Gross Profit Margin (TTM),0.2891
Operating Profit Margin (TTM),0.0953
Net Profit Margin (TTM),0.0517
Annual Dividend Yield,0.0084
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.10060000000000001
EPS Growth (MRQ),-0.1724
EPS Growth (TTM),0.1869
Revenue Growth (MRQ),-0.18510000000000001
Revenue Growth (TTM),0.7417
Return On Equity (TTM),0.0455
Return On Assets (TTM),0.0233
Return On Investment (TTM),0.0281
Revenue Per Employee (TTM),310410.0
Total Debt/Total Capital (MRQ),0.3264
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.82
Interest Coverage (MRQ),3.4
newConstructs,4
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,4
theStreet,hold
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-10-01 00:00:00
theStreet since,2018-11-21 00:00:00
ford since,2020-01-10 00:00:00
creditSuisse since,
