,GRMN
% Above Low,0.3326
% Held by Institutions,0.4816
52-Wk Range,['61.04 - 105.58']
Annual Dividend $,2.44
Annual Dividend %,0.0313
Ask,84.84
Ask Size,100.0
B/A Ratio,36.0
B/A Size,3600x100
Beta,1.0
Bid,75.0
Bid Size,3600.0
Closing Price,81.34
Day Change $,3.3
Day Change %,0.042300000000000004
Day High,81.48
Day Low,78.51
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",5.09
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.353
Last (size),16.0
Last (time),4:15p ET 05/08/20
Market Cap,15.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.32
Prev Close,78.04
Short Interest,0.0209
Today's Open,79.5
Volume,1063919.0
Volume 10-day Avg,1096942.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.06968641114982588
Growth 1yr High Est,0.569965870307167
Growth 1yr Consensus Est,0.2501397295786706
Growth 2yr Low Est,0.09249761839512449
Growth 2yr High Est,0.3425916308057575
Growth 2yr Consensus Est,0.217544624600441
Growth 5yr Low Est,0.046248809197562246
Growth 5yr High Est,0.17129581540287875
Growth 5yr Consensus Est,0.1087723123002205
Growth 5yr Actual/Est,0.11265210500935552
Growth 3yr Historic,0.11526602510923067
Price/Earnings (TTM),15.32128
Price/Sales (TTM),3.87441
Price/Book (MRQ),3.02103
Price/Cash Flow (TTM),13.75364
5yr Low,30.93
5yr High,105.58
5yr Avg Return,0.13763333333333336
EPS Growth 5yr,0.2161151
Revenue Growth 5yr,0.0553187
Dividend Growth 5yr,0.0313103
Short Int Current Month,2906972.0
Short Int Prev Month,2424579.0
Short Int Pct of Float,0.020927699999999997
Days to Cover,2.63365
Float,139.9057
Shares Outstanding,191.0179
Institutions Holding Shares,787.0
FCF Growth 5yr,0.43958102440574026
"Price/Earnings (TTM, GAAP)",15.32
"PEG Ratio (TTM, GAAP)",5.04
Gross Profit Margin (TTM),0.595
Operating Profit Margin (TTM),0.2525
Net Profit Margin (TTM),0.253
Annual Dividend Yield,0.0313
Dividend Change %,0.0667
"Dividend Growth Rate, 3 Years",0.0317
EPS Growth (MRQ),-0.5543
EPS Growth (TTM),0.37310000000000004
Revenue Growth (MRQ),-0.2233
Revenue Growth (TTM),0.1308
Return On Equity (TTM),0.21050000000000002
Return On Assets (TTM),0.1718
Return On Investment (TTM),0.1961
Revenue Per Employee (TTM),256504.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.74
Interest Coverage (MRQ),52.25
newConstructs,1
researchTeam,hold
creditSuisse,neutral
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
creditSuisse since,2020-01-27 00:00:00
theStreet since,2016-03-02 00:00:00
cfra since,2016-10-26 00:00:00
ford since,2020-03-20 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
