,NOC
% Below High,0.149
% Held by Institutions,0.8155
52-Wk Range,['263.31 - 385.01']
Annual Dividend $,5.28
Annual Dividend %,0.0163
Ask,331.0
Ask Size,1100.0
B/A Ratio,0.2727272727272727
B/A Size,300x1100
Beta,0.8
Bid,327.65
Bid Size,300.0
Closing Price,327.65
Day Change $,3.51
Day Change %,0.0108
Day High,329.03
Day Low,322.73
Dividend Pay Date,2020-03-11 00:00:00
"EPS (TTM, GAAP)",13.27
Ex-dividend,2020-02-21 00:00:00
Ex-dividend Date,02/21/20
Historical Volatility,0.376
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,54.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.42
Prev Close,324.14
Short Interest,0.0096
Today's Open,324.25
Volume,664877.0
Volume 10-day Avg,823049.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.08415841584158423
Growth 1yr High Est,0.08932038834951461
Growth 1yr Consensus Est,0.08673940209554942
Growth 2yr Low Est,0.08728468737284689
Growth 2yr High Est,0.14024842946887495
Growth 2yr Consensus Est,0.11376655842086092
Growth 5yr Low Est,0.08728468737284689
Growth 5yr High Est,0.14024842946887495
Growth 5yr Consensus Est,0.11376655842086092
Growth 5yr Actual/Est,0.2656638356229697
Growth 3yr Historic,0.2180037415067055
Price/Earnings (TTM),24.42119
Price/Sales (TTM),1.57665
Price/Book (MRQ),5.977
Price/Cash Flow (TTM),16.20727
5yr Low,152.31
5yr High,385.01
5yr Avg Return,0.1574
EPS Growth 5yr,0.0627364
Revenue Growth 5yr,0.0713279
Dividend Growth 5yr,0.1374599
Short Int Current Month,1597127.0
Short Int Prev Month,2101378.0
Short Int Pct of Float,0.0095974
Days to Cover,1.8608
Float,165.8849
Shares Outstanding,166.7027
Institutions Holding Shares,1398.0
FCF Growth 5yr,0.14320823512867392
"Price/Earnings (TTM, GAAP)",24.69
"PEG Ratio (TTM, GAAP)",2.35
Gross Profit Margin (TTM),0.2126
Operating Profit Margin (TTM),0.1158
Net Profit Margin (TTM),0.06570000000000001
Annual Dividend Yield,0.0161
Dividend Change %,0.09789999999999999
"Dividend Growth Rate, 3 Years",0.1381
EPS Growth (MRQ),3.1222000000000003
EPS Growth (TTM),-0.2913
Revenue Growth (MRQ),-0.0116
Revenue Growth (TTM),0.08630000000000002
Return On Equity (TTM),0.2531
Return On Assets (TTM),0.0543
Return On Investment (TTM),0.0705
Revenue Per Employee (TTM),380800.0
Total Debt/Total Capital (MRQ),0.6397
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),1.21
Interest Coverage (MRQ),7.47
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,5
ford,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2019-12-26 00:00:00
cfra since,2018-06-06 00:00:00
ford since,2020-03-13 00:00:00
creditSuisse since,2019-01-14 00:00:00
