,2019,2020,2015,2016,2017,2018,Report
high,11.77,11.1,,,,,
low,9.18,5.8,,,,,
change,-0.024300000000000002,-0.17559999999999998,,,,,
Date,2019-06-30 00:00:00,,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,Balance Sheet
Cash,602.0,,596.0,421.0,448.0,621.0,Balance Sheet
Short Term Investments,,,109.0,95.0,114.0,,Balance Sheet
Cash and Short Term Invs,602.0,,705.0,516.0,562.0,621.0,Balance Sheet
"Trade Accts Recvble, Gross",,,1208.0,1196.0,1137.0,,Balance Sheet
Prov. for Doubtful Accts,,,-15.0,-16.0,-21.0,,Balance Sheet
"Trade Accts Recvble, Net",1864.0,,1193.0,1180.0,1116.0,1379.0,Balance Sheet
Other Receivables,,,193.0,159.0,212.0,,Balance Sheet
"Total Receivables, Net",1864.0,,1386.0,1339.0,1328.0,1379.0,Balance Sheet
Invent. - Finished Goods,832.0,,514.0,499.0,522.0,573.0,Balance Sheet
Invent. - Work In Progress,349.0,,166.0,146.0,169.0,201.0,Balance Sheet
Invent. - Raw Materials,865.0,,533.0,599.0,615.0,641.0,Balance Sheet
LIFO Reserve,-92.0,,,,,-56.0,Balance Sheet
Total Inventory,1954.0,,1214.0,1244.0,1306.0,1359.0,Balance Sheet
Prepaid Expenses,374.0,,83.0,72.0,77.0,262.0,Balance Sheet
Discont. Ops.-Curr. Assets,416.0,,,,,0.0,Balance Sheet
Other Current Assets,,,26.0,21.0,14.0,,Balance Sheet
"Other Curr. Assets, Total",416.0,,26.0,21.0,14.0,0.0,Balance Sheet
Total Current Assets,5210.0,,3413.0,3193.0,3287.0,3620.0,Balance Sheet
Buildings,1305.0,,802.0,815.0,894.0,848.0,Balance Sheet
Land/Improvements,184.0,,154.0,152.0,159.0,156.0,Balance Sheet
Machinery/Equipment,,,4257.0,4498.0,4641.0,,Balance Sheet
Other Prop./Plant/Equip.,5615.0,,15.0,15.0,17.0,4696.0,Balance Sheet
Prop./Plant/Equip. - Gross,7104.0,,5228.0,5481.0,5711.0,5700.0,Balance Sheet
Accumulated Depreciation,-3129.0,,-2661.0,-2790.0,-2946.0,-3002.0,Balance Sheet
Prop./Plant/Equip. - Net,3975.0,,2567.0,2691.0,2765.0,2699.0,Balance Sheet
"Goodwill, Gross",,,1560.0,1794.0,2037.0,,Balance Sheet
Accum. Goodwill Amort.,,,-4.0,-4.0,-4.0,,Balance Sheet
"Goodwill, Net",5156.0,,1556.0,1790.0,2033.0,2057.0,Balance Sheet
Intangibles - Gross,2626.0,,462.0,514.0,615.0,569.0,Balance Sheet
Accum. Intangible Amort.,-319.0,,-172.0,-202.0,-239.0,-244.0,Balance Sheet
Intangibles - Net,2307.0,,289.0,312.0,376.0,325.0,Balance Sheet
Long Term Investments,99.0,,458.0,447.0,412.0,116.0,Balance Sheet
Pension Bene. - Overfunded,40.0,,21.0,15.0,25.0,53.0,Balance Sheet
Def. Inc. Tax - LT Asset,191.0,,78.0,48.0,67.0,71.0,Balance Sheet
Other Long Term Assets,187.0,,165.0,187.0,119.0,118.0,Balance Sheet
Total Assets,17165.0,,8547.0,8682.0,9083.0,9058.0,Balance Sheet
Accounts Payable,,,2346.0,2418.0,2608.0,,Balance Sheet
Accrued Expenses,378.0,,34.0,,,269.0,Balance Sheet
Notes Payable/ST Debt,789.0,,7.0,2.0,780.0,1174.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,5.0,,1005.0,914.0,345.0,984.0,Balance Sheet
Income Taxes Payable,,,118.0,77.0,87.0,,Balance Sheet
Other Payables,2303.0,,,,,1861.0,Balance Sheet
Discontinued Operations,21.0,,,,,0.0,Balance Sheet
Other Current Liabilities,1045.0,,164.0,233.0,215.0,767.0,Balance Sheet
"Other Curr. Lblts, Total",3369.0,,282.0,310.0,302.0,2628.0,Balance Sheet
Total Current Liabilities,4542.0,,3674.0,3645.0,4034.0,5055.0,Balance Sheet
Long Term Debt,5309.0,,2567.0,3419.0,3480.0,2690.0,Balance Sheet
Capital Lease Obligations,,,6.0,10.0,6.0,,Balance Sheet
Total Long Term Debt,5309.0,,2573.0,3428.0,3486.0,2690.0,Balance Sheet
Total Debt,6103.0,,3585.0,4345.0,4611.0,4848.0,Balance Sheet
Deferred Income Tax,1012.0,,230.0,212.0,215.0,148.0,Balance Sheet
Minority Interest,66.0,,121.0,62.0,70.0,69.0,Balance Sheet
Reserves,,,86.0,95.0,111.0,,Balance Sheet
Pension Benefits - Underfunded,387.0,,386.0,446.0,356.0,286.0,Balance Sheet
Other LT Liabilities,241.0,,11.0,10.0,11.0,183.0,Balance Sheet
"Other Liabilities, Total",628.0,,483.0,551.0,478.0,469.0,Balance Sheet
Total Liabilities,11556.0,,7081.0,7898.0,8283.0,8431.0,Balance Sheet
Common Stock,16.0,,1717.0,1467.0,1425.0,,Balance Sheet
Additional Paid-In Capital,6008.0,,,,,784.0,Balance Sheet
Ret. Earn.(Accum. Deficit),324.0,,-142.0,-459.0,-334.0,561.0,Balance Sheet
Treasury Stock - Common,-16.0,,-36.0,-22.0,-8.0,-11.0,Balance Sheet
