,AMCR
% Below High,0.2379
% Held by Institutions,0.31629999999999997
52-Wk Range,['5.80 - 11.77']
Annual Dividend $,0.46
Annual Dividend %,0.053399999999999996
Ask,9.41
Ask Size,2000.0
B/A Ratio,0.5
B/A Size,1000x2000
Beta,
Bid,8.97
Bid Size,1000.0
Change Since Close,0.00| |(0.00%)
Closing Price,8.97
Day Change $,0.36
Day Change %,0.0418
Day High,9.0
Day Low,8.74
Dividend Pay Date,2020-03-24 00:00:00
"EPS (TTM, GAAP)",0.32
Ex-dividend,2020-03-03 00:00:00
Ex-dividend Date,03/03/20
Historical Volatility,0.474
Last (size),149.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,14.4B
"P/E Ratio (TTM, GAAP)",27.05
Prev Close,8.61
Short Interest,0.0232
Today's Open,8.78
Volume,3815663.0
Volume 10-day Avg,5582323.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.016666666666666607
Growth 2yr High Est,0.125
Growth 2yr Consensus Est,0.0708333333333333
Growth 5yr Low Est,0.016666666666666607
Growth 5yr High Est,0.125
Growth 5yr Consensus Est,0.0708333333333333
Growth 5yr Actual/Est,0.039810547875063995
Growth 3yr Historic,0.0
Price/Earnings (TTM),27.0525
Price/Sales (TTM),1.24487
Price/Book (MRQ),2.5846
Price/Cash Flow (TTM),13.27456
5yr Low,5.8
5yr High,11.77
5yr Avg Return,-0.09995
EPS Growth 5yr,-0.0804912
Revenue Growth 5yr,-0.0103751
Dividend Growth 5yr,0.0744973
Short Int Current Month,37089169.0
Short Int Prev Month,40696645.0
Short Int Pct of Float,0.0231693
Days to Cover,5.0979
Float,1584.903
Shares Outstanding,1604.047
Institutions Holding Shares,586.0
FCF Growth 5yr,0.0901625417854343
"Price/Earnings (TTM, GAAP)",27.05
"PEG Ratio (TTM, GAAP)",13.13
Gross Profit Margin (TTM),0.1908
Operating Profit Margin (TTM),0.0726
Net Profit Margin (TTM),0.039900000000000005
Annual Dividend Yield,0.0534
Dividend Change %,0.3322
"Dividend Growth Rate, 3 Years",0.3814
EPS Growth (MRQ),1.5351
EPS Growth (TTM),-0.41450000000000004
Revenue Growth (MRQ),-0.0311
Revenue Growth (TTM),0.1847
Return On Equity (TTM),0.1427
Return On Assets (TTM),0.0344
Return On Investment (TTM),0.050300000000000004
Revenue Per Employee (TTM),221884.0
Total Debt/Total Capital (MRQ),0.5347999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0028000000000000004
Quick Ratio (MRQ),0.74
Interest Coverage (MRQ),6.44
newConstructs,3
researchTeam,hold
cfra,3
ford,3
creditSuisse,
theStreet,
marketEdge,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-10-04 00:00:00
cfra since,2019-10-04 00:00:00
ford since,2019-11-15 00:00:00
creditSuisse since,
theStreet since,
marketEdge since,
