,DG
% Below High,0.0412
% Held by Institutions,0.9244
52-Wk Range,['116.15 - 183.95']
Annual Dividend $,1.44
Annual Dividend %,0.0083
Ask,178.09
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,0.5
Bid,174.0
Bid Size,100.0
Change Since Close,1.73| |(0.98%)
Closing Price,176.36
Day Change $,2.76
Day Change %,0.0159
Day High,176.79
Day Low,173.39
Dividend Pay Date,2020-04-21 00:00:00
"EPS (TTM, GAAP)",6.64
Ex-dividend,2020-04-06 00:00:00
Ex-dividend Date,04/06/20
Historical Volatility,0.312
Last (size),1000.0
Last (time),6:30p ET 05/08/20
Last Trade,178.09
Market Cap,44.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.13
Prev Close,173.6
Short Interest,0.015
Today's Open,175.2
Volume,1574541.0
Volume 10-day Avg,1735741.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-28 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.054628224582701
Growth 1yr High Est,0.22388059701492513
Growth 1yr Consensus Est,0.13925441079881307
Growth 2yr Low Est,0.08486806912588285
Growth 2yr High Est,0.14547688387331625
Growth 2yr Consensus Est,0.11517247649959955
Growth 5yr Low Est,0.15209884008246466
Growth 5yr High Est,0.17920644167780875
Growth 5yr Consensus Est,0.1656526408801367
Growth 5yr Actual/Est,0.1643634509168646
Growth 3yr Historic,0.10841222890528496
Price/Earnings (TTM),26.13411
Price/Sales (TTM),1.57322
Price/Book (MRQ),6.52534
Price/Cash Flow (TTM),19.69145
5yr Low,59.75
5yr High,183.95
5yr Avg Return,0.16648333333333334
EPS Growth 5yr,0.1374776
Revenue Growth 5yr,0.0797634
Dividend Growth 5yr,
Short Int Current Month,3777360.0
Short Int Prev Month,3001458.0
Short Int Pct of Float,0.015046299999999999
Days to Cover,1.32448
Float,251.1261
Shares Outstanding,251.515
Institutions Holding Shares,1280.0
FCF Growth 5yr,0.1336420640242762
"Price/Earnings (TTM, GAAP)",26.13
"PEG Ratio (TTM, GAAP)",2.4
Gross Profit Margin (TTM),0.3059
Operating Profit Margin (TTM),0.083
Net Profit Margin (TTM),0.0617
Annual Dividend Yield,0.0083
Dividend Change %,0.1034
"Dividend Growth Rate, 3 Years",0.0858
EPS Growth (MRQ),0.4794
EPS Growth (TTM),0.1198
Revenue Growth (MRQ),0.023799999999999998
Revenue Growth (TTM),0.08310000000000001
Return On Equity (TTM),0.2611
Return On Assets (TTM),0.0951
Return On Investment (TTM),0.12029999999999999
Revenue Per Employee (TTM),194084.0
Total Debt/Total Capital (MRQ),0.3029
Change in Debt/Total Capital Quarter over Quarter,-0.0040999999999999995
Quick Ratio (MRQ),0.11
Interest Coverage (MRQ),28.2
newConstructs,2
researchTeam,accumulate
theStreet,buy
cfra,5
ford,1
marketEdge opinion,long
marketEdge,0
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
theStreet since,2011-11-15 00:00:00
cfra since,2019-05-30 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-04-17 00:00:00
