,DG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",26.13,24.53,Valuation,1.0652262535670607
Price/Sales (TTM),1.57,1.05,Valuation,1.4952380952380953
Price/Book (MRQ),6.53,4.86,Valuation,1.3436213991769548
"PEG Ratio (TTM, GAAP)",2.4,0.77,Valuation,3.1168831168831166
Gross Profit Margin (TTM),0.3059,0.309,Profitability,0.9899676375404531
Operating Profit Margin (TTM),0.083,0.0678,Profitability,1.224188790560472
Net Profit Margin (TTM),0.0617,0.048600000000000004,Profitability,1.2695473251028806
Annual Dividend Yield,0.0083,0.0166,Dividend,0.5
Dividend Change %,0.1034,0.0512,Dividend,2.01953125
"Dividend Growth Rate, 3 Years",0.0858,0.0487,Dividend,1.7618069815195072
EPS Growth (MRQ),0.4794,0.21910000000000002,Gowth rates,2.1880419899589225
EPS Growth (TTM),0.1198,0.318,Gowth rates,0.3767295597484277
Revenue Growth (MRQ),0.023799999999999998,0.0379,Gowth rates,0.6279683377308706
Revenue Growth (TTM),0.08310000000000001,0.051500000000000004,Gowth rates,1.6135922330097088
Return On Equity (TTM),0.2611,0.2495,Effectiveness,1.0464929859719438
Return On Assets (TTM),0.0951,0.0787,Effectiveness,1.2083862770012705
Return On Investment (TTM),0.12029999999999999,0.1084,Effectiveness,1.1097785977859778
Revenue Per Employee (TTM),194084.0,248755.0,Effectiveness,0.7802215030853651
Total Debt/Total Capital (MRQ),0.3029,0.40399999999999997,Financial strength,0.7497524752475249
Change in Debt/Total Capital Quarter over Quarter,-0.0040999999999999995,-0.0022,Financial strength,1.8636363636363633
Quick Ratio (MRQ),0.11,0.22,Financial strength,0.5
Interest Coverage (MRQ),28.2,16.63,Financial strength,1.6957306073361396
