,IEX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.14,16.14,Valuation,1.7434944237918215
Price/Sales (TTM),4.74,1.91,Valuation,2.4816753926701574
Price/Book (MRQ),5.24,5.29,Valuation,0.9905482041587902
"PEG Ratio (TTM, GAAP)",2.45,8.4,Valuation,0.2916666666666667
Gross Profit Margin (TTM),0.45130000000000003,0.34020000000000006,Profitability,1.326572604350382
Operating Profit Margin (TTM),0.23149999999999998,0.1399,Profitability,1.6547533952823446
Net Profit Margin (TTM),0.16899999999999998,0.09820000000000001,Profitability,1.7209775967413439
Annual Dividend Yield,0.013000000000000001,0.021,Dividend,0.6190476190476191
Dividend Change %,0.1627,0.10779999999999999,Dividend,1.5092764378478667
"Dividend Growth Rate, 3 Years",0.1293,0.0852,Dividend,1.517605633802817
EPS Growth (MRQ),0.0584,1.5424000000000002,Gowth rates,0.037863070539419084
EPS Growth (TTM),0.0092,0.0192,Gowth rates,0.4791666666666667
Revenue Growth (MRQ),-0.019,-0.0643,Gowth rates,0.2954898911353033
Revenue Growth (TTM),-0.010700000000000001,0.0195,Gowth rates,-0.5487179487179488
Return On Equity (TTM),0.19460000000000002,0.2865,Effectiveness,0.6792321116928448
Return On Assets (TTM),0.11130000000000001,0.0765,Effectiveness,1.4549019607843139
Return On Investment (TTM),0.12279999999999999,0.1033,Effectiveness,1.1887705711519845
Revenue Per Employee (TTM),331604.0,385966.0,Effectiveness,0.859153396931336
Total Debt/Total Capital (MRQ),0.3095,0.547,Financial strength,0.5658135283363802
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0009,Financial strength,0.6666666666666666
Quick Ratio (MRQ),2.59,1.45,Financial strength,1.7862068965517242
Interest Coverage (MRQ),12.87,7.34,Financial strength,1.7534059945504086
