,IEX
% Below High,0.1316
% Held by Institutions,0.9869
52-Wk Range,['104.56 - 178.14']
Annual Dividend $,2.0
Annual Dividend %,0.013000000000000001
Ask,181.34
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,154.7
Day Change $,1.3
Day Change %,0.0085
Day High,157.97
Day Low,153.62
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",5.45
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.35700000000000004
Last (size),124.0
Last (time),6:30p ET 05/08/20
Market Cap,11.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",28.14
Prev Close,153.4
Short Interest,0.0183
Today's Open,155.82
Volume,479512.0
Volume 10-day Avg,499857.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.3189655172413792
Growth 1yr High Est,-0.07191780821917804
Growth 1yr Consensus Est,-0.19544166273027863
Growth 2yr Low Est,-0.07087516368398072
Growth 2yr High Est,-0.01012864580700601
Growth 2yr Consensus Est,-0.04050190474549337
Growth 5yr Low Est,0.05103856874873436
Growth 5yr High Est,0.08064411085232726
Growth 5yr Consensus Est,0.06584133980053081
Growth 5yr Actual/Est,0.06236584691885763
Growth 3yr Historic,0.08182728555437857
Price/Earnings (TTM),28.14488
Price/Sales (TTM),4.74099
Price/Book (MRQ),5.24494
Price/Cash Flow (TTM),23.62021
5yr Low,65.45
5yr High,178.14
5yr Avg Return,0.14540000000000006
EPS Growth 5yr,0.0995117
Revenue Growth 5yr,0.030390399999999998
Dividend Growth 5yr,0.12521290000000002
Short Int Current Month,1387657.0
Short Int Prev Month,1394594.0
Short Int Pct of Float,0.018334
Days to Cover,1.99201
Float,75.90706
Shares Outstanding,76.23924
Institutions Holding Shares,682.0
FCF Growth 5yr,0.08714017984735509
"Price/Earnings (TTM, GAAP)",28.14
"PEG Ratio (TTM, GAAP)",2.45
Gross Profit Margin (TTM),0.45130000000000003
Operating Profit Margin (TTM),0.23149999999999998
Net Profit Margin (TTM),0.16899999999999998
Annual Dividend Yield,0.013000000000000001
Dividend Change %,0.1627
"Dividend Growth Rate, 3 Years",0.1293
EPS Growth (MRQ),0.0584
EPS Growth (TTM),0.0092
Revenue Growth (MRQ),-0.019
Revenue Growth (TTM),-0.010700000000000001
Return On Equity (TTM),0.19460000000000002
Return On Assets (TTM),0.11130000000000001
Return On Investment (TTM),0.12279999999999999
Revenue Per Employee (TTM),331604.0
Total Debt/Total Capital (MRQ),0.3095
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),2.59
Interest Coverage (MRQ),12.87
newConstructs,3
researchTeam,hold
theStreet,buy
ford,3
cfra,
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2009-05-05 00:00:00
ford since,2020-04-24 00:00:00
cfra since,
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
