,BEN
% Above Low,0.2877
% Held by Institutions,0.5102
52-Wk Range,['14.91 - 35.77']
Annual Dividend $,1.08
Annual Dividend %,0.059500000000000004
Ask,20.15
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,18.0
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,19.2
Day Change $,1.06
Day Change %,0.0584
Day High,19.25
Day Low,18.36
Dividend Pay Date,2020-04-13 00:00:00
"EPS (TTM, GAAP)",1.95
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.457
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,9.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.3
Prev Close,18.14
Short Interest,0.1097
Today's Open,18.37
Volume,3150828.0
Volume 10-day Avg,5357712.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.3376068376068375
Growth 1yr High Est,-0.09090909090909083
Growth 1yr Consensus Est,-0.21425796425796417
Growth 2yr Low Est,-0.1784808381582575
Growth 2yr High Est,-0.004545454545454519
Growth 2yr Consensus Est,-0.091513146351856
Growth 5yr Low Est,-0.13958171600745642
Growth 5yr High Est,-0.049931590148981464
Growth 5yr Consensus Est,-0.09475665307821894
Growth 5yr Actual/Est,-0.09533876340395175
Growth 3yr Historic,-0.040019614467781545
Price/Earnings (TTM),9.29942
Price/Sales (TTM),1.58179
Price/Book (MRQ),0.90721
Price/Cash Flow (TTM),8.37671
5yr Low,14.91
5yr High,52.49
5yr Avg Return,-0.13268333333333332
EPS Growth 5yr,-0.0912479
Revenue Growth 5yr,-0.0742217
Dividend Growth 5yr,0.1703418
Short Int Current Month,29585955.0
Short Int Prev Month,28762980.0
Short Int Pct of Float,0.1096541
Days to Cover,7.20619
Float,268.2276
Shares Outstanding,495.3063
Institutions Holding Shares,735.0
FCF Growth 5yr,-0.10964952816298043
"Price/Earnings (TTM, GAAP)",9.3
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2668
Net Profit Margin (TTM),0.1709
Annual Dividend Yield,0.059500000000000004
Dividend Change %,0.1348
"Dividend Growth Rate, 3 Years",0.1354
EPS Growth (MRQ),-0.7752
EPS Growth (TTM),-0.2972
Revenue Growth (MRQ),-0.0527
Revenue Growth (TTM),-0.042300000000000004
Return On Equity (TTM),0.09820000000000001
Return On Assets (TTM),0.0672
Return On Investment (TTM),0.087
Revenue Per Employee (TTM),591688.0
Total Debt/Total Capital (MRQ),0.1068
Change in Debt/Total Capital Quarter over Quarter,0.0074
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.76
newConstructs,1
researchTeam,reduce
creditSuisse,underperform
theStreet,hold
cfra,3
ford,3
marketEdge opinion,avoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-28 00:00:00
creditSuisse since,2016-01-04 00:00:00
theStreet since,2019-08-12 00:00:00
cfra since,2015-10-24 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
