,2015,2016,2017,2018,2019,2020,Report
high,109.86,125.72,158.44,175.64,213.25,216.39,
low,88.43,91.4,112.31,132.63,135.58,137.15,
change,0.0942,0.1414,0.3042,-0.08140000000000001,0.5157,-0.1058,
Date,2015-08-31 00:00:00,2016-08-31 00:00:00,2017-08-31 00:00:00,2018-08-31 00:00:00,2019-08-31 00:00:00,,Balance Sheet
Cash & Equivalents,4315.0,4860.0,4081.0,5016.0,6127.0,,Balance Sheet
Short Term Investments,2.0,3.0,3.0,3.0,3.0,,Balance Sheet
Cash and Short Term Invs,4317.0,4863.0,4084.0,5019.0,6130.0,,Balance Sheet
"Total Receivables, Net",5725.0,6222.0,6885.0,7496.0,8095.0,,Balance Sheet
Restricted Cash - Current,46.0,45.0,46.0,46.0,0.0,,Balance Sheet
Other Current Assets,611.0,845.0,1082.0,1025.0,1225.0,,Balance Sheet
"Other Curr. Assets, Total",657.0,891.0,1128.0,1070.0,1226.0,,Balance Sheet
Total Current Assets,10700.0,11976.0,12097.0,13586.0,15451.0,,Balance Sheet
Buildings,751.0,901.0,1045.0,1126.0,1229.0,,Balance Sheet
Land/Improvements,3.0,3.0,3.0,0.0,0.0,,Balance Sheet
Machinery/Equipment,1386.0,1428.0,1612.0,1626.0,1724.0,,Balance Sheet
Other Prop./Plant/Equip.,311.0,355.0,393.0,374.0,395.0,,Balance Sheet
Prop./Plant/Equip. - Gross,2451.0,2687.0,3053.0,3126.0,3347.0,,Balance Sheet
Accumulated Depreciation,-1649.0,-1730.0,-1912.0,-1862.0,-1956.0,,Balance Sheet
Prop./Plant/Equip. - Net,802.0,957.0,1141.0,1264.0,1391.0,,Balance Sheet
"Goodwill, Net",2930.0,3609.0,5002.0,5383.0,6206.0,,Balance Sheet
Intangibles - Gross,701.0,796.0,1096.0,1136.0,1340.0,,Balance Sheet
Accum. Intangible Amort.,-236.0,-286.0,-385.0,-449.0,-499.0,,Balance Sheet
Intangibles - Net,465.0,510.0,710.0,687.0,841.0,,Balance Sheet
Long Term Investments,45.0,199.0,212.0,216.0,240.0,,Balance Sheet
Note Rcvble - Long Term,16.0,68.0,41.0,23.0,71.0,,Balance Sheet
Deferred Charges,655.0,733.0,756.0,705.0,681.0,,Balance Sheet
Def. Inc. Tax - LT Asset,2090.0,2077.0,2215.0,2087.0,4349.0,,Balance Sheet
Other Long Term Assets,500.0,479.0,516.0,499.0,560.0,,Balance Sheet
Total Assets,18203.0,20609.0,22690.0,24449.0,29790.0,,Balance Sheet
Accounts Payable,1151.0,1281.0,1525.0,1349.0,1647.0,,Balance Sheet
Accrued Expenses,4489.0,4839.0,4884.0,5386.0,5791.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,2.0,3.0,3.0,5.0,6.0,,Balance Sheet
Customer Advances,2252.0,2365.0,2670.0,2838.0,3189.0,,Balance Sheet
Income Taxes Payable,517.0,363.0,708.0,498.0,378.0,,Balance Sheet
Other Current Liabilities,81.0,28.0,34.0,76.0,51.0,,Balance Sheet
"Other Curr. Lblts, Total",2849.0,2756.0,3412.0,3412.0,3618.0,,Balance Sheet
Total Current Liabilities,8491.0,8879.0,9824.0,10152.0,11062.0,,Balance Sheet
Total Long Term Debt,26.0,24.0,22.0,20.0,16.0,,Balance Sheet
Total Debt,27.0,27.0,25.0,25.0,23.0,,Balance Sheet
Deferred Income Tax,91.0,111.0,137.0,126.0,133.0,,Balance Sheet
Minority Interest,514.0,634.0,761.0,360.0,419.0,,Balance Sheet
Pension Benefits - Underfunded,1109.0,1495.0,1409.0,1411.0,1766.0,,Balance Sheet
Other LT Liabilities,1838.0,1910.0,1587.0,2017.0,1985.0,,Balance Sheet
"Other Liabilities, Total",2947.0,3405.0,2996.0,3427.0,3751.0,,Balance Sheet
Total Liabilities,12069.0,13054.0,13740.0,14084.0,15381.0,,Balance Sheet
Common Stock,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Additional Paid-In Capital,4517.0,2925.0,3516.0,4871.0,5804.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),13470.0,7880.0,7082.0,7952.0,10422.0,,Balance Sheet
Treasury Stock - Common,-11472.0,-2592.0,-1649.0,-2117.0,-1388.0,,Balance Sheet
Unrealized Gain (Loss),-2.0,0.0,1.0,2.0,1.0,,Balance Sheet
Cum. Trans. Adjustment,-854.0,-920.0,-770.0,-1075.0,-1208.0,,Balance Sheet
Other Equity,1031.0,1004.0,1095.0,1235.0,1412.0,,Balance Sheet
Min. Pension Lblty Adj.,-524.0,-810.0,-441.0,-419.0,-672.0,,Balance Sheet
Other Comprehensive Income,-33.0,68.0,115.0,-84.0,39.0,,Balance Sheet
"Other Equity, Total",-379.0,-657.0,-1.0,-344.0,-429.0,,Balance Sheet
