,ACN
% Below High,0.1286
% Held by Institutions,0.721
52-Wk Range,['137.15 - 216.39']
Annual Dividend $,3.2
Annual Dividend %,0.0171
Ask,188.55
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,188.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,188.56
Day Change $,1.45
Day Change %,0.0077
Day High,189.85
Day Low,187.68
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",7.7
Ex-dividend,2020-04-15 00:00:00
Ex-dividend Date,04/15/20
Historical Volatility,0.375
Last (size),9.0
Last (time),6:30p ET 05/08/20
Last Trade,188.56
Market Cap,120.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.3
Prev Close,187.11
Short Interest,0.0134
Today's Open,188.99
Volume,1778711.0
Volume 10-day Avg,2160437.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-06-25 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.028846153846153744
Growth 1yr High Est,0.04477611940298498
Growth 1yr Consensus Est,0.03681113662456936
Growth 2yr Low Est,-0.04298680291670953
Growth 2yr High Est,0.08147896879240157
Growth 2yr Consensus Est,0.01924608293784602
Growth 5yr Low Est,0.03590956464768302
Growth 5yr High Est,0.09748001369723303
Growth 5yr Consensus Est,0.06669478917245802
Growth 5yr Actual/Est,0.08171971594930871
Growth 3yr Historic,0.058107015720475774
Price/Earnings (TTM),24.30335
Price/Sales (TTM),2.77301
Price/Book (MRQ),7.71214
Price/Cash Flow (TTM),19.95094
5yr Low,88.43
5yr High,216.39
5yr Avg Return,0.14471666666666666
EPS Growth 5yr,0.102506
Revenue Growth 5yr,0.0627663
Dividend Growth 5yr,0.0943947
Short Int Current Month,8817104.0
Short Int Prev Month,7639028.0
Short Int Pct of Float,0.0133558
Days to Cover,3.28186
Float,659.9982
Shares Outstanding,661.8083
Institutions Holding Shares,2117.0
FCF Growth 5yr,0.10495674163605107
"Price/Earnings (TTM, GAAP)",24.3
"PEG Ratio (TTM, GAAP)",3.3
Gross Profit Margin (TTM),0.3128
Operating Profit Margin (TTM),0.1466
Net Profit Margin (TTM),0.1129
Annual Dividend Yield,0.0171
Dividend Change %,0.0977
"Dividend Growth Rate, 3 Years",0.099
EPS Growth (MRQ),-0.0731
EPS Growth (TTM),0.1101
Revenue Growth (MRQ),-0.0191
Revenue Growth (TTM),0.0567
Return On Equity (TTM),0.34509999999999996
Return On Assets (TTM),0.1656
Return On Investment (TTM),0.2608
Revenue Per Employee (TTM),90764.0
Total Debt/Total Capital (MRQ),0.0013000000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0033000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,4
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2005-09-27 00:00:00
cfra since,2018-03-22 00:00:00
ford since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-12-19 00:00:00
