,SPGI
% Below High,0.0489
% Held by Institutions,0.8458
52-Wk Range,['186.06 - 312.94']
Annual Dividend $,2.68
Annual Dividend %,0.0091
Ask,305.0
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,1.0
Bid,290.79
Bid Size,400.0
Closing Price,297.65
Day Change $,2.07
Day Change %,0.006999999999999999
Day High,300.0
Day Low,295.78
Dividend Pay Date,2020-03-11 00:00:00
"EPS (TTM, GAAP)",9.58
Ex-dividend,2020-02-25 00:00:00
Ex-dividend Date,02/25/20
Historical Volatility,0.449
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,71.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.08
Prev Close,295.58
Short Interest,0.0194
Today's Open,300.0
Volume,851989.0
Volume 10-day Avg,1321916.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.052350427350427386
Growth 1yr High Est,0.07716371220020868
Growth 1yr Consensus Est,0.06475706977531803
Growth 2yr Low Est,0.054093995401102046
Growth 2yr High Est,0.11505813877193394
Growth 2yr Consensus Est,0.08457606708651799
Growth 5yr Low Est,0.12361797058731339
Growth 5yr High Est,0.15227666140523083
Growth 5yr Consensus Est,0.1379473159962721
Growth 5yr Actual/Est,0.127466472125721
Growth 3yr Historic,0.08871211474430118
Price/Earnings (TTM),31.07863
Price/Sales (TTM),10.37083
Price/Book (MRQ),
Price/Cash Flow (TTM),26.1693
5yr Low,78.55
5yr High,312.94
5yr Avg Return,0.21671666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0580995
Dividend Growth 5yr,0.1369745
Short Int Current Month,4666666.0
Short Int Prev Month,4403817.0
Short Int Pct of Float,0.0193979
Days to Cover,2.24631
Float,240.5999
Shares Outstanding,240.9
Institutions Holding Shares,1528.0
FCF Growth 5yr,3.2250088570231425
"Price/Earnings (TTM, GAAP)",31.08
"PEG Ratio (TTM, GAAP)",3.74
Gross Profit Margin (TTM),0.7288
Operating Profit Margin (TTM),0.4803
Net Profit Margin (TTM),0.36719999999999997
Annual Dividend Yield,0.009000000000000001
Dividend Change %,0.14
"Dividend Growth Rate, 3 Years",0.1655
EPS Growth (MRQ),0.1913
EPS Growth (TTM),0.2848
Revenue Growth (MRQ),0.0294
Revenue Growth (TTM),0.1039
Return On Equity (TTM),61.090900000000005
Return On Assets (TTM),0.2516
Return On Investment (TTM),0.483
Revenue Per Employee (TTM),307289.0
Total Debt/Total Capital (MRQ),0.6557
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),20.84
newConstructs,3
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,hold
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-29 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-04-29 00:00:00
cfra since,2020-04-29 00:00:00
ford since,2020-03-13 00:00:00
creditSuisse since,
