,WAT
Price/Earnings (TTM),22.9863
Price/Sales (TTM),4.90979
Price/Book (MRQ),
Price/Cash Flow (TTM),17.91622
5yr Low,112.0
5yr High,255.21
5yr Avg Return,0.08328333333333333
EPS Growth 5yr,0.1125577
Revenue Growth 5yr,0.0388161
Dividend Growth 5yr,
Short Int Current Month,4169417.0
Short Int Prev Month,4195568.0
Short Int Pct of Float,0.06772070000000001
Days to Cover,8.64906
Float,61.5606
Shares Outstanding,61.90868
Institutions Holding Shares,835.0
% Held by Institutions,1.014694
FCF Growth 5yr,0.012928751150781936
