,HSY
% Above Low,0.2121
% Held by Institutions,0.7508
52-Wk Range,['109.88 - 162.20']
Annual Dividend $,3.09
Annual Dividend %,0.023700000000000002
Ask,135.1
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,0.2
Bid,129.0
Bid Size,500.0
Closing Price,133.19
Day Change $,2.66
Day Change %,0.0204
Day High,133.76
Day Low,131.81
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",5.3
Ex-dividend,2020-05-21 00:00:00
Ex-dividend Date,05/21/20
Historical Volatility,0.37
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,27.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",24.64
Prev Close,130.53
Short Interest,0.0239
Today's Open,132.25
Volume,831328.0
Volume 10-day Avg,1190371.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.040492957746478764
Growth 1yr High Est,0.0431034482758621
Growth 1yr Consensus Est,0.001305245264691668
Growth 2yr Low Est,0.004524163328595399
Growth 2yr High Est,0.06617982331148475
Growth 2yr Consensus Est,0.035351993320040076
Growth 5yr Low Est,0.049204907772720685
Growth 5yr High Est,0.08113279673551566
Growth 5yr Consensus Est,0.06516885225411817
Growth 5yr Actual/Est,0.07146685836566091
Growth 3yr Historic,0.051102157280822846
Price/Earnings (TTM),24.635
Price/Sales (TTM),3.39094
Price/Book (MRQ),16.25831
Price/Cash Flow (TTM),19.37327
5yr Low,82.41
5yr High,162.2
5yr Avg Return,0.0743
EPS Growth 5yr,0.0769324
Revenue Growth 5yr,0.0147688
Dividend Growth 5yr,0.0794641
Short Int Current Month,3522890.0
Short Int Prev Month,2524115.0
Short Int Pct of Float,0.0239081
Days to Cover,2.87648
Float,147.1399
Shares Outstanding,208.0096
Institutions Holding Shares,1239.0
FCF Growth 5yr,0.11597128019389202
"Price/Earnings (TTM, GAAP)",24.64
"PEG Ratio (TTM, GAAP)",3.6
Gross Profit Margin (TTM),0.44920000000000004
Operating Profit Margin (TTM),0.18480000000000002
Net Profit Margin (TTM),0.1388
Annual Dividend Yield,0.023700000000000002
Dividend Change %,0.0849
"Dividend Growth Rate, 3 Years",0.0757
EPS Growth (MRQ),0.31
EPS Growth (TTM),-0.006999999999999999
Revenue Growth (MRQ),-0.0149
Revenue Growth (TTM),0.0219
Return On Equity (TTM),0.7236
Return On Assets (TTM),0.133
Return On Investment (TTM),0.1949
Revenue Per Employee (TTM),551452.0
Total Debt/Total Capital (MRQ),0.7521
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),0.7
Interest Coverage (MRQ),8.83
newConstructs,2
researchTeam,reduce
creditSuisse,outperform
theStreet,buy
cfra,2
ford,3
marketEdge opinion,avoid
marketEdge,0
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
creditSuisse since,2020-03-18 00:00:00
theStreet since,2015-10-29 00:00:00
cfra since,2020-04-24 00:00:00
ford since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
