,JWN
% Above Low,0.4694
% Held by Institutions,0.7212000000000001
52-Wk Range,['12.27 - 43.37']
Annual Dividend $,
Annual Dividend %,
Ask,18.24
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,18.0
Bid Size,500.0
Closing Price,18.03
Day Change $,0.74
Day Change %,0.042800000000000005
Day High,18.06
Day Low,17.42
Dividend Pay Date,03/25/20
"EPS (TTM, GAAP)",3.18
Ex-dividend Date,03/09/20
Historical Volatility,0.756
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,2.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.44
Prev Close,17.29
Short Interest,0.325
Today's Open,17.7
Volume,4060040.0
Volume 10-day Avg,5121052.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-1.855855855855856
Growth 1yr High Est,-0.022922636103151928
Growth 1yr Consensus Est,-0.9393892459795039
Growth 2yr Low Est,-1.5752963489805596
Growth 2yr High Est,0.013465368165432812
Growth 2yr Consensus Est,-0.7809154904075634
Growth 5yr Low Est,-0.7473062691717526
Growth 5yr High Est,0.05314784924788157
Growth 5yr Consensus Est,-0.34707920996193553
Growth 5yr Actual/Est,5.9957074002447115
Growth 3yr Historic,0.04458639793676569
Price/Earnings (TTM),5.44216
Price/Sales (TTM),0.17413
Price/Book (MRQ),2.74803
Price/Cash Flow (TTM),2.31639
5yr Low,12.27
5yr High,80.23
5yr Avg Return,-0.18581666666666666
EPS Growth 5yr,-0.0309855
Revenue Growth 5yr,0.0282421
Dividend Growth 5yr,
Short Int Current Month,33682437.0
Short Int Prev Month,32354847.0
Short Int Pct of Float,0.3249705
Days to Cover,4.67034
Float,105.1865
Shares Outstanding,156.3462
Institutions Holding Shares,697.0
FCF Growth 5yr,-0.28988425139253127
"Price/Earnings (TTM, GAAP)",5.44
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3603
Operating Profit Margin (TTM),0.0506
Net Profit Margin (TTM),0.032
Annual Dividend Yield,
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.5151
EPS Growth (TTM),-0.0392
Revenue Growth (MRQ),0.2356
Revenue Growth (TTM),-0.0211
Return On Equity (TTM),0.5356000000000001
Return On Assets (TTM),0.0563
Return On Investment (TTM),0.0925
Revenue Per Employee (TTM),228294.0
