,JWN
Price/Earnings (TTM),5.44216
Price/Sales (TTM),0.17413
Price/Book (MRQ),2.74803
Price/Cash Flow (TTM),2.31639
5yr Low,12.27
5yr High,80.23
5yr Avg Return,-0.18581666666666666
EPS Growth 5yr,-0.0309855
Revenue Growth 5yr,0.0282421
Dividend Growth 5yr,
Short Int Current Month,33682437.0
Short Int Prev Month,32354847.0
Short Int Pct of Float,0.3249705
Days to Cover,4.67034
Float,105.1865
Shares Outstanding,156.3462
Institutions Holding Shares,697.0
% Held by Institutions,0.721237
FCF Growth 5yr,-0.28988425139253127
