,PRGO
% Below High,0.1757
% Held by Institutions,0.8573000000000001
52-Wk Range,['40.01 - 63.86']
Annual Dividend $,0.9
Annual Dividend %,0.0174
Ask,57.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.2
Bid,50.23
Bid Size,100.0
Closing Price,52.64
Day Change $,0.95
Day Change %,0.0184
Day High,52.73
Day Low,51.77
Dividend Pay Date,2020-06-16 00:00:00
"EPS (TTM, GAAP)",1.38
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.454
Last (size),72.0
Last (time),6:30p ET 05/08/20
Market Cap,7.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",38.28
Prev Close,51.69
Short Interest,0.0302
Today's Open,52.13
Volume,492986.0
Volume 10-day Avg,969508.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.010362694300518172
Growth 1yr High Est,0.03170731707317098
Growth 1yr Consensus Est,0.010672311386326405
Growth 2yr Low Est,-0.10989338903507584
Growth 2yr High Est,0.05131465144438685
Growth 2yr Consensus Est,-0.029289368795344495
Growth 5yr Low Est,-0.1055029896868038
Growth 5yr High Est,-0.02012825734140558
Growth 5yr Consensus Est,-0.06281562351410469
Growth 5yr Actual/Est,-0.03428065587491094
Growth 3yr Historic,-0.047841205447696294
Price/Earnings (TTM),38.27946
Price/Sales (TTM),1.43399
Price/Book (MRQ),1.23995
Price/Cash Flow (TTM),12.33758
5yr Low,36.28
5yr High,200.96
5yr Avg Return,-0.13793333333333335
Short Int Current Month,4086123.0
Short Int Prev Month,3969305.0
Short Int Pct of Float,0.030168
Days to Cover,2.95994
Float,135.7484
Shares Outstanding,136.3134
Institutions Holding Shares,526.0
FCF Growth 5yr,0.4326339178856354
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",38.28
"PEG Ratio (TTM, GAAP)",3.83
Gross Profit Margin (TTM),0.36119999999999997
Operating Profit Margin (TTM),0.0496
Net Profit Margin (TTM),0.037700000000000004
Annual Dividend Yield,0.0171
Dividend Change %,0.0789
"Dividend Growth Rate, 3 Years",0.12240000000000001
EPS Growth (MRQ),6.546799999999999
EPS Growth (TTM),0.6439
Revenue Growth (MRQ),0.0138
Revenue Growth (TTM),0.0671
Return On Equity (TTM),0.032799999999999996
Return On Assets (TTM),0.0167
Return On Investment (TTM),0.0198
Revenue Per Employee (TTM),446777.0
Total Debt/Total Capital (MRQ),0.3749
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.29
Interest Coverage (MRQ),7.43
newConstructs,4
researchTeam,hold
marketEdge opinion,long
marketEdge,0
cfra,3
theStreet,hold
ford,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-08-10 00:00:00
theStreet since,2019-09-30 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,
