,EFX
% Below High,0.0934
% Held by Institutions,0.9745999999999999
52-Wk Range,['103.01 - 164.77']
Annual Dividend $,1.56
Annual Dividend %,0.0105
Ask,172.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,138.05
Bid Size,100.0
Closing Price,149.38
Day Change $,1.07
Day Change %,0.0072
Day High,150.71
Day Low,148.52
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",2.21
Ex-dividend,2020-05-21 00:00:00
Ex-dividend Date,05/21/20
Historical Volatility,0.375
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,18.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",67.26
Prev Close,148.31
Short Interest,0.0215
Today's Open,148.82
Volume,506270.0
Volume 10-day Avg,777188.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.26618705035971213
Growth 1yr High Est,0.02313167259786475
Growth 1yr Consensus Est,-0.12152768888092369
Growth 2yr Low Est,-0.09142685851318944
Growth 2yr High Est,0.08113105369023665
Growth 2yr Consensus Est,-0.0051479024114763905
Growth 5yr Low Est,-0.060328356404974165
Growth 5yr High Est,0.026104628099860083
Growth 5yr Consensus Est,-0.01711186415255704
Growth 5yr Actual/Est,-0.01788298575748029
Growth 3yr Historic,-0.014877930238411385
Price/Earnings (TTM),67.26077
Price/Sales (TTM),4.97393
Price/Book (MRQ),7.54445
Price/Cash Flow (TTM),28.6438
5yr Low,88.68
5yr High,164.77
5yr Avg Return,0.09708333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0756037
Dividend Growth 5yr,0.093012
Short Int Current Month,2606079.0
Short Int Prev Month,2119441.0
Short Int Pct of Float,0.0214895
Days to Cover,2.78836
Float,120.8782
Shares Outstanding,121.3851
Institutions Holding Shares,712.0
FCF Growth 5yr,-0.3394557783881888
"Price/Earnings (TTM, GAAP)",67.26
"PEG Ratio (TTM, GAAP)",134.25
Gross Profit Margin (TTM),0.5722
Operating Profit Margin (TTM),0.11560000000000001
Net Profit Margin (TTM),0.0763
Annual Dividend Yield,0.0105
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.057300000000000004
EPS Growth (MRQ),11.0989
EPS Growth (TTM),1.7641
Revenue Growth (MRQ),0.0575
Revenue Growth (TTM),0.0669
Return On Equity (TTM),0.109
Return On Assets (TTM),0.0369
Return On Investment (TTM),0.0453
Revenue Per Employee (TTM),323161.0
Total Debt/Total Capital (MRQ),0.5908
Change in Debt/Total Capital Quarter over Quarter,0.0024
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.43
newConstructs,4
researchTeam,hold
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2018-10-25 00:00:00
cfra since,2018-07-30 00:00:00
ford since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-12-07 00:00:00
