,EFX
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.26618705035971213
Growth 1yr High Est,0.02313167259786475
Growth 1yr Consensus Est,-0.12152768888092369
Growth 2yr Low Est,-0.09142685851318944
Growth 2yr High Est,0.08113105369023665
Growth 2yr Consensus Est,-0.0051479024114763905
Growth 5yr Low Est,-0.060328356404974165
Growth 5yr High Est,0.026104628099860083
Growth 5yr Consensus Est,-0.01711186415255704
Growth 5yr Actual/Est,-0.01788298575748029
Growth 3yr Historic,-0.014877930238411385
