,EFX
Price/Earnings (TTM),67.26077
Price/Sales (TTM),4.97393
Price/Book (MRQ),7.54445
Price/Cash Flow (TTM),28.6438
5yr Low,88.68
5yr High,164.77
5yr Avg Return,0.09708333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0756037
Dividend Growth 5yr,0.093012
Short Int Current Month,2606079.0
Short Int Prev Month,2119441.0
Short Int Pct of Float,0.0214895
Days to Cover,2.78836
Float,120.8782
Shares Outstanding,121.3851
Institutions Holding Shares,712.0
% Held by Institutions,0.974622
FCF Growth 5yr,-0.3394557783881888
