,AAL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,6.76,Valuation,
Price/Sales (TTM),0.09,0.41,Valuation,0.21951219512195122
Price/Book (MRQ),,0.86,Valuation,
"PEG Ratio (TTM, GAAP)",,1.56,Valuation,
Gross Profit Margin (TTM),0.6033,0.6256,Profitability,0.964354219948849
Operating Profit Margin (TTM),0.0032,0.0956,Profitability,0.03347280334728033
Net Profit Margin (TTM),-0.0169,0.0632,Profitability,-0.26740506329113917
Annual Dividend Yield,,0.0046,Dividend,
Dividend Change %,0.0,0.0895,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.17079999999999998,Dividend,0.0
EPS Growth (MRQ),-6.5395,-7.414,Gowth rates,0.8820474777448072
EPS Growth (TTM),-1.5997000000000001,-0.0433,Gowth rates,36.9445727482679
Revenue Growth (MRQ),-0.24730000000000002,-0.1608,Gowth rates,1.5379353233830848
Revenue Growth (TTM),-0.0229,-0.0069,Gowth rates,3.318840579710145
Return On Equity (TTM),,0.15710000000000002,Effectiveness,
Return On Assets (TTM),-0.0124,0.0417,Effectiveness,-0.2973621103117506
Return On Investment (TTM),-0.0184,0.061399999999999996,Effectiveness,-0.2996742671009772
Revenue Per Employee (TTM),328564.0,403474.0,Effectiveness,0.814337478994929
Total Debt/Total Capital (MRQ),1.1174,0.4855,Financial strength,2.301544799176107
Change in Debt/Total Capital Quarter over Quarter,0.0008,0.0029,Financial strength,0.2758620689655173
Quick Ratio (MRQ),0.28,0.48,Financial strength,0.5833333333333334
Interest Coverage (MRQ),-5.06,-16.22,Financial strength,0.311960542540074
