,OXY
% Above Low,0.6689
% Held by Institutions,0.8226
52-Wk Range,['9.00 - 60.73']
Annual Dividend $,0.44
Annual Dividend %,0.0317
Ask,15.4
Ask Size,2200.0
B/A Ratio,0.36363636363636365
B/A Size,800x2200
Beta,2.0
Bid,15.03
Bid Size,800.0
Closing Price,15.02
Day Change $,1.14
Day Change %,0.0821
Day High,15.05
Day Low,14.1
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",-4.33
Ex-dividend,2020-03-09 00:00:00
Ex-dividend Date,03/09/20
Historical Volatility,0.9640000000000001
Last (size),227.0
Last (time),6:30p ET 05/08/20
Market Cap,13.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,13.88
Short Interest,0.0809
Today's Open,14.31
Volume,31352419.0
Volume 10-day Avg,43585010.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-2.554187192118227
Growth 1yr High Est,-1.5229007633587788
Growth 1yr Consensus Est,-2.038543977738503
Growth 2yr Low Est,-1.4062536594505555
Growth 2yr High Est,-1.214005126204937
Growth 2yr Consensus Est,-1.3101293928277462
Growth 5yr Low Est,0.9265027999043516
Growth 5yr High Est,0.44002713986782865
Growth 5yr Consensus Est,0.68326496988609
Growth 5yr Actual/Est,-0.0965783985679024
Growth 3yr Historic,0.9796586602076744
Price/Earnings (TTM),
Price/Sales (TTM),0.59001
Price/Book (MRQ),0.62779
Price/Cash Flow (TTM),3.60776
5yr Low,9.0
5yr High,87.67
5yr Avg Return,-0.19701666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0117365
Dividend Growth 5yr,0.0174368
Short Int Current Month,73572453.0
Short Int Prev Month,77061685.0
Short Int Pct of Float,0.080914
Days to Cover,1.30903
Float,898.5072
Shares Outstanding,900.0182
Institutions Holding Shares,1244.0
FCF Growth 5yr,-1.974713425112374
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6168
Operating Profit Margin (TTM),-0.0848
Net Profit Margin (TTM),-0.1295
Annual Dividend Yield,0.029300000000000003
Dividend Change %,0.0129
"Dividend Growth Rate, 3 Years",0.0131
EPS Growth (MRQ),-0.6644
EPS Growth (TTM),-1.8207
Revenue Growth (MRQ),0.019
Revenue Growth (TTM),0.2657
Return On Equity (TTM),-0.1791
Return On Assets (TTM),-0.0406
Return On Investment (TTM),-0.046900000000000004
Revenue Per Employee (TTM),1591111.0
Total Debt/Total Capital (MRQ),0.5518
Change in Debt/Total Capital Quarter over Quarter,0.0063
Quick Ratio (MRQ),1.06
Interest Coverage (MRQ),2.66
newConstructs,4
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,1
theStreet,sell
creditSuisse,underperform
ford,5
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-14 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-04-22 00:00:00
theStreet since,2020-03-12 00:00:00
creditSuisse since,2020-03-11 00:00:00
ford since,2020-04-09 00:00:00
