,2015,2016,2017,2018,2019,2020,Report
high,38.15,45.01,57.55,58.73,38.29,30.57,
low,29.81,23.99,43.55,26.77,24.71,9.58,
change,-0.0401,0.3575,0.2277,-0.47009999999999996,0.015,-0.47159999999999996,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,113.0,100.0,77.0,94.0,84.0,,Balance Sheet
Prop./Plant/Equip. - Gross,1540.0,1607.0,1696.0,,,,Balance Sheet
Accumulated Depreciation,-903.0,-989.0,-1068.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,1161.0,1118.0,1134.0,547.0,534.0,,Balance Sheet
"Goodwill, Net",231.0,335.0,339.0,350.0,352.0,,Balance Sheet
Long Term Investments,49974.0,51098.0,53025.0,50683.0,55732.0,,Balance Sheet
Insurance Receivables,1598.0,1611.0,1666.0,1616.0,1603.0,,Balance Sheet
Def. Policy Acq. Costs,2009.0,2094.0,2185.0,2309.0,2324.0,,Balance Sheet
Accrued Investment Income,703.0,693.0,690.0,691.0,693.0,,Balance Sheet
Reinsurance - Asset,4725.0,4859.0,4879.0,4662.0,4781.0,,Balance Sheet
Other Assets,50.0,33.0,20.0,814.0,911.0,,Balance Sheet
"Other Assets, Total",5478.0,5585.0,5589.0,6167.0,6385.0,,Balance Sheet
Total Assets,60564.0,61942.0,64013.0,61876.0,67013.0,,Balance Sheet
Policy Liabilities,47084.0,47741.0,49175.0,48496.0,51489.0,,Balance Sheet
Insurance Reserves,43541.0,44246.0,45602.0,44842.0,47780.0,,Balance Sheet
Unearned Prem. Or Rev.,384.0,364.0,373.0,363.0,364.0,,Balance Sheet
Other Policyholders’ Funds,1675.0,1624.0,1595.0,1595.0,1600.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,352.0,0.0,200.0,0.0,400.0,,Balance Sheet
Income Taxes Payable,6.0,21.0,3.0,24.0,257.0,,Balance Sheet
Other Payables,415.0,406.0,396.0,128.0,,,Balance Sheet
"Other Curr. Lblts, Total",421.0,427.0,399.0,152.0,257.0,,Balance Sheet
Total Long Term Debt,2449.0,2999.0,2738.0,2971.0,2927.0,,Balance Sheet
Total Debt,2801.0,2999.0,2938.0,2971.0,3327.0,,Balance Sheet
Deferred Income Tax,92.0,130.0,199.0,0.0,95.0,,Balance Sheet
"Other Liabilities, Total",1501.0,1676.0,1727.0,1635.0,1881.0,,Balance Sheet
Total Liabilities,51900.0,52974.0,54438.0,53254.0,57048.0,,Balance Sheet
Common Stock,30.0,30.0,31.0,31.0,31.0,,Balance Sheet
Additional Paid-In Capital,2247.0,2273.0,2303.0,2322.0,2348.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),7995.0,8744.0,9542.0,9863.0,10729.0,,Balance Sheet
Treasury Stock - Common,-1625.0,-2028.0,-2429.0,-2779.0,-3180.0,,Balance Sheet
Unrealized Gain (Loss),204.0,441.0,608.0,-312.0,616.0,,Balance Sheet
Cum. Trans. Adjustment,-174.0,-354.0,-255.0,-305.0,-282.0,,Balance Sheet
Min. Pension Lblty Adj.,-393.0,-465.0,-508.0,-447.0,-485.0,,Balance Sheet
Other Comprehensive Income,378.0,328.0,282.0,251.0,188.0,,Balance Sheet
"Other Equity, Total",-188.0,-492.0,-480.0,-502.0,-579.0,,Balance Sheet
Total Equity,8664.0,8968.0,9575.0,8622.0,9965.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,60564.0,61942.0,64013.0,61876.0,67013.0,,Balance Sheet
Ttl Comm. Shares Outs.,241.0,230.0,223.0,215.0,203.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,62.0,74.0,82.0,91.0,103.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Gross Premiums Written,8355.0,8621.0,8907.0,9314.0,9693.0,,Income Statement
Other Insurance Revenue,212.0,206.0,198.0,198.0,221.0,,Income Statement
Reinsurance - Income,-272.0,-264.0,-310.0,-328.0,-327.0,,Income Statement
Total Premiums Earned,8294.0,8563.0,8795.0,9184.0,9587.0,,Income Statement
Net Investment Income,2481.0,2459.0,2452.0,2454.0,2435.0,,Income Statement
Realized Gains (Losses),-11.0,55.0,48.0,-22.0,2.0,,Income Statement
Total Revenue,10764.0,11077.0,11295.0,11616.0,12024.0,,Income Statement
"Losses, Benies & Adjusts",6783.0,6942.0,7056.0,8020.0,7496.0,,Income Statement
Underwriting & Commissions,996.0,1027.0,1061.0,1108.0,1123.0,,Income Statement
"Losses,Benies& Adjmts,Total",7779.0,7969.0,8117.0,9129.0,8619.0,,Income Statement
Amort. Of Policy Acquisition Costs,-87.0,-99.0,-101.0,-103.0,-49.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",835.0,832.0,844.0,886.0,898.0,,Income Statement
Impair-Assets Held for Sale,32.0,31.0,8.0,18.0,25.0,,Income Statement
Other Unusual Expnse (In),,,,,27.0,,Income Statement
Unusual Expense (Income),32.0,31.0,8.0,18.0,53.0,,Income Statement
"Other Operat Expse, Total",813.0,832.0,863.0,891.0,944.0,,Income Statement
Total Operating Expense,9373.0,9563.0,9731.0,10821.0,10465.0,,Income Statement
Total Operating Income,1391.0,1514.0,1564.0,795.0,1560.0,,Income Statement
"Inter Expse,Net Non-Operat",-153.0,-166.0,-160.0,-167.0,-177.0,,Income Statement
Income Before Tax,1238.0,1348.0,1404.0,628.0,1382.0,,Income Statement
Income Tax - Total,371.0,416.0,441.0,104.0,282.0,,Income Statement
Income After Tax,867.0,931.0,963.0,523.0,1100.0,,Income Statement
Net Inc Before Extra Items,867.0,931.0,963.0,523.0,1100.0,,Income Statement
Total Extraordinary Items,,,32.0,,,,Income Statement
Total Net Income,867.0,931.0,994.0,523.0,1100.0,,Income Statement
Income Available to Common Excl. Extra. Items,867.0,931.0,963.0,523.0,1100.0,,Income Statement
Income Available to Common Incl. Extra. Items,867.0,931.0,994.0,523.0,1100.0,,Income Statement
Basic/Primary Weighted Average Shares,247.0,235.0,226.0,220.0,210.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,3.51,3.96,4.25,2.38,5.25,,Income Statement
Basic/Primary EPS Incl. Extra. Items,3.51,3.96,4.39,2.38,5.25,,Income Statement
Diluted Weighted Average Shares,248.0,236.0,227.0,220.0,210.0,,Income Statement
Diluted EPS Excl. Extra. Items,3.5,3.95,4.23,2.38,5.24,,Income Statement
Diluted EPS Incl. Extra. Items,3.5,3.95,4.37,2.38,5.24,,Income Statement
Div/Share-ComStockPrimIssue,0.7,0.77,0.86,0.98,1.09,,Income Statement
Gross Divid - Common Stock,174.0,183.0,196.0,217.0,231.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",153.0,166.0,160.0,167.0,177.0,,Income Statement
"Depreciat/Amort, Suppl",100.0,102.0,103.0,101.0,110.0,,Income Statement
Total Special Items,32.0,31.0,8.0,18.0,53.0,,Income Statement
Normalzd Income Before Tax,1271.0,1378.0,1412.0,645.0,1435.0,,Income Statement
Efct/SpecItemsIncTxs (STEC),10.0,9.0,3.0,3.0,11.0,,Income Statement
IncTxsExcl ImpctofSpec Itms,381.0,426.0,444.0,107.0,293.0,,Income Statement
Normalized Income After Tax,890.0,952.0,968.0,538.0,1142.0,,Income Statement
Normalzd Inc Avail to Common,890.0,952.0,968.0,538.0,1142.0,,Income Statement
Basic Normalized EPS,3.6,4.05,4.28,2.45,5.45,,Income Statement
Diluted Normalized EPS,3.59,4.04,4.26,2.44,5.44,,Income Statement
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Cash Flow
Net Income,867.0,931.0,994.0,523.0,1100.0,,Cash Flow
Depreciation/Depletion,100.0,102.0,103.0,101.0,110.0,,Cash Flow
Non-Cash Items,-155.0,-155.0,-187.0,-165.0,-156.0,,Cash Flow
"Cash Taxes Pd, Supplemental",189.0,384.0,377.0,140.0,35.0,,Cash Flow
"Cash Interest Pd, Suppl",147.0,154.0,154.0,575.0,762.0,,Cash Flow
Changes in Working Capital,480.0,238.0,239.0,1076.0,688.0,,Cash Flow
Total Cash from Operations,1292.0,1116.0,1149.0,1537.0,1742.0,,Cash Flow
Capital Expenditures,-100.0,-85.0,-105.0,-144.0,-151.0,,Cash Flow
Acquisition of Business,-54.0,-129.0,0.0,-145.0,0.0,,Cash Flow
Sale/Maturity of Investment,3644.0,3446.0,3270.0,3912.0,3720.0,,Cash Flow
"Investment, Net",512.0,-3.0,-366.0,-68.0,-372.0,,Cash Flow
Purchase of Investments,-4715.0,-3939.0,-3283.0,-4485.0,-4591.0,,Cash Flow
Other Investing Cash Flow,0.0,0.0,,,0.0,,Cash Flow
"OtherInvestCashFlowItms,Tot",-613.0,-625.0,-379.0,-786.0,-1243.0,,Cash Flow
Total Cash from Investing,-713.0,-710.0,-485.0,-930.0,-1394.0,,Cash Flow
Financing Cash Flow Items,-28.0,-34.0,-37.0,-53.0,-83.0,,Cash Flow
Total Cash Dividends Paid,-174.0,-183.0,-196.0,-216.0,-229.0,,Cash Flow
Sale/Issuance of Common,6.0,9.0,11.0,5.0,6.0,,Cash Flow
Repurch/Retirement Common,-418.0,-405.0,-402.0,-356.0,-400.0,,Cash Flow
"Iss (Retirmnt) of Stock,Net",-412.0,-397.0,-391.0,-352.0,-394.0,,Cash Flow
"Short Term Debt, Net",,,,-200.0,0.0,,Cash Flow
Long Term Debt Issued,271.0,609.0,0.0,291.0,842.0,,Cash Flow
Long Term Debt Reduction,-226.0,-414.0,-64.0,-60.0,-493.0,,Cash Flow
"Long Term Debt, Net",45.0,195.0,-64.0,231.0,349.0,,Cash Flow
"Iss (Retirmnt) of Debt, Net",45.0,195.0,-64.0,31.0,349.0,,Cash Flow
Total Cash From Financing,-569.0,-419.0,-688.0,-590.0,-358.0,,Cash Flow
Net Change in Cash,10.0,-13.0,-23.0,17.0,-10.0,,Cash Flow
NetCash-BeginBal/RsvdforFutUse,103.0,113.0,100.0,77.0,94.0,,Cash Flow
NetCash-EndBal/RsrvforFutUse,113.0,100.0,77.0,94.0,84.0,,Cash Flow
"Depreciation, Supplemental",100.0,102.0,103.0,101.0,110.0,,Cash Flow
Free Cash Flow,1192.0,1031.0,1044.0,1393.0,1591.0,,
FCF Growth,,-0.13506711409395977,0.012609117361784605,0.33429118773946365,0.14213926776740848,0.0,
