,UNM
% Above Low,0.62
% Held by Institutions,1.0112999999999999
52-Wk Range,['9.58 - 36.29']
Annual Dividend $,1.14
Annual Dividend %,0.07719999999999999
Ask,15.55
Ask Size,1700.0
B/A Ratio,1.1764705882352942
B/A Size,2000x1700
Beta,1.7
Bid,15.2
Bid Size,2000.0
Closing Price,15.52
Day Change $,0.76
Day Change %,0.051500000000000004
Day High,15.55
Day Low,14.54
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",4.72
Ex-dividend,2020-04-24 00:00:00
Ex-dividend Date,04/24/20
Historical Volatility,0.691
Last (size),190.0
Last (time),6:30p ET 05/08/20
Market Cap,3.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.29
Prev Close,14.76
Short Interest,0.0281
Today's Open,14.92
Volume,2923301.0
Volume 10-day Avg,3859912.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.1784386617100372
Growth 1yr High Est,0.03130755064456725
Growth 1yr Consensus Est,-0.07356555553273497
Growth 2yr Low Est,-0.04736412723510913
Growth 2yr High Est,0.06029663246514072
Growth 2yr Consensus Est,0.006466252615015794
Growth 5yr Low Est,0.04376038111111344
Growth 5yr High Est,0.09253918924844334
Growth 5yr Consensus Est,0.06814978517977839
Growth 5yr Actual/Est,0.06936352370131066
Growth 3yr Historic,0.06456876456876459
Price/Earnings (TTM),3.28601
Price/Sales (TTM),0.26513
Price/Book (MRQ),0.3219
Price/Cash Flow (TTM),2.89216
5yr Low,9.58
5yr High,58.73
5yr Avg Return,-0.06359999999999999
EPS Growth 5yr,0.2732712
Revenue Growth 5yr,0.0267379
Dividend Growth 5yr,0.1194558
Short Int Current Month,5661791.0
Short Int Prev Month,5982150.0
Short Int Pct of Float,0.0280848
Days to Cover,1.7634
Float,202.133
Shares Outstanding,203.4205
Institutions Holding Shares,664.0
FCF Growth 5yr,0.07079449175493939
"Price/Earnings (TTM, GAAP)",3.29
"PEG Ratio (TTM, GAAP)",0.61
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1186
Net Profit Margin (TTM),0.08230000000000001
Annual Dividend Yield,0.0735
Dividend Change %,0.11220000000000001
"Dividend Growth Rate, 3 Years",0.12279999999999999
EPS Growth (MRQ),-0.4487
EPS Growth (TTM),0.9304000000000001
Revenue Growth (MRQ),-0.0553
Revenue Growth (TTM),0.0175
Return On Equity (TTM),0.1039
Return On Assets (TTM),0.0152
Return On Investment (TTM),
Revenue Per Employee (TTM),1156087.0
Total Debt/Total Capital (MRQ),0.2527
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.73
newConstructs,2
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,3
theStreet,hold
creditSuisse,neutral
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-01-20 00:00:00
theStreet since,2019-06-07 00:00:00
creditSuisse since,2020-03-11 00:00:00
ford since,2020-04-17 00:00:00
