,TTWO
% Below High,0.0431
% Held by Institutions,0.9196
52-Wk Range,['99.22 - 135.70']
Annual Dividend $,
Annual Dividend %,
Ask,130.75
Ask Size,700.0
B/A Ratio,0.5714285714285714
B/A Size,400x700
Beta,0.5
Bid,130.5
Bid Size,400.0
Closing Price,129.85
Day Change $,1.07
Day Change %,0.0083
Day High,130.78
Day Low,127.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.92
Ex-dividend Date,No dividend
Historical Volatility,0.383
Last (size),35.0
Last (time),4:00p ET 05/08/20
Market Cap,14.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",44.48
Prev Close,128.78
Short Interest,0.0365
Today's Open,129.37
Volume,1316951.0
Volume 10-day Avg,1399134.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.05299539170506917
Growth 1yr High Est,0.009920634920634885
Growth 1yr Consensus Est,0.03145801331285203
Growth 2yr Low Est,-0.12776926257197307
Growth 2yr High Est,0.05604086755854931
Growth 2yr Consensus Est,-0.03586419750671188
Growth 5yr Low Est,0.037848882785877024
Growth 5yr High Est,0.20254356551381028
Growth 5yr Consensus Est,0.12019622414984366
Growth 5yr Actual/Est,0.15784907838269097
Growth 3yr Historic,0.18369932432432434
Price/Earnings (TTM),44.4806
Price/Sales (TTM),5.13635
Price/Book (MRQ),6.12751
Price/Cash Flow (TTM),26.33935
5yr Low,24.14
5yr High,139.91
5yr Avg Return,0.37916666666666665
EPS Growth 5yr,-0.0221033
Revenue Growth 5yr,0.025688399999999997
Dividend Growth 5yr,
Short Int Current Month,4094006.0
Short Int Prev Month,2988110.0
Short Int Pct of Float,0.0365183
Days to Cover,2.15168
Float,112.059
Shares Outstanding,113.4243
Institutions Holding Shares,876.0
FCF Growth 5yr,0.41296008218926905
"Price/Earnings (TTM, GAAP)",44.48
"PEG Ratio (TTM, GAAP)",3.84
Gross Profit Margin (TTM),0.5098
Operating Profit Margin (TTM),0.1261
Net Profit Margin (TTM),0.1165
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.2751000000000001
EPS Growth (TTM),-0.0817
Revenue Growth (MRQ),0.0843
Revenue Growth (TTM),0.1116
Return On Equity (TTM),0.15080000000000002
Return On Assets (TTM),0.0721
Return On Investment (TTM),0.1317
Revenue Per Employee (TTM),585908.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.63
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,4
ford,3
marketEdge opinion,long
marketEdge,0
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-03 00:00:00
theStreet since,2019-02-07 00:00:00
cfra since,2019-08-08 00:00:00
ford since,2019-12-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2012-10-10 00:00:00
