,Industry,TTWO,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",71.2,44.48,Valuation,0.6247191011235954
Price/Sales (TTM),7.82,5.14,Valuation,0.6572890025575447
Price/Book (MRQ),10.92,6.13,Valuation,0.5613553113553114
"PEG Ratio (TTM, GAAP)",1.39,3.84,Valuation,2.762589928057554
Gross Profit Margin (TTM),0.4153,0.5098,Profitability,1.2275463520346739
Operating Profit Margin (TTM),0.0668,0.1261,Profitability,1.8877245508982035
Net Profit Margin (TTM),0.025,0.1165,Profitability,4.66
Annual Dividend Yield,0.001,,Dividend,
Dividend Change %,0.026600000000000002,,Dividend,
"Dividend Growth Rate, 3 Years",0.0354,,Dividend,
EPS Growth (MRQ),-0.2644,1.2751000000000001,Gowth rates,-4.822617246596066
EPS Growth (TTM),-0.5115999999999999,-0.0817,Gowth rates,0.15969507427677873
Revenue Growth (MRQ),0.23149999999999998,0.0843,Gowth rates,0.36414686825054
Revenue Growth (TTM),0.2888,0.1116,Gowth rates,0.38642659279778396
Return On Equity (TTM),-0.0196,0.15080000000000002,Effectiveness,-7.693877551020409
Return On Assets (TTM),0.0322,0.0721,Effectiveness,2.239130434782609
Return On Investment (TTM),0.0268,0.1317,Effectiveness,4.914179104477612
Revenue Per Employee (TTM),1055034.0,585908.0,Effectiveness,0.5553451357965715
Total Debt/Total Capital (MRQ),0.42110000000000003,0.0,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,0.0006,,Financial strength,
Quick Ratio (MRQ),0.49,1.63,Financial strength,3.326530612244898
Interest Coverage (MRQ),5.91,,Financial strength,
