,COG
% Below High,0.2519
% Held by Institutions,0.9808
52-Wk Range,['13.06 - 27.42']
Annual Dividend $,0.4
Annual Dividend %,0.02
Ask,22.31
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.3
Bid,19.5
Bid Size,400.0
Change Since Close,0.00| |(0.00%)
Closing Price,20.51
Day Change $,0.53
Day Change %,0.0265
Day High,20.56
Day Low,20.08
Dividend Pay Date,2020-05-28 00:00:00
"EPS (TTM, GAAP)",1.14
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.483
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,8.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.51
Prev Close,19.98
Short Interest,0.0326
Today's Open,20.08
Volume,3504824.0
Volume 10-day Avg,6390122.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-24 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.8102189781021898
Growth 1yr High Est,-0.49710982658959535
Growth 1yr Consensus Est,-0.6536644023458926
Growth 2yr Low Est,0.5371982032565974
Growth 2yr High Est,0.6882266959006045
Growth 2yr Consensus Est,0.6127124495786009
Growth 5yr Low Est,0.6506975931988399
Growth 5yr High Est,0.5268281995955444
Growth 5yr Consensus Est,0.5887628963971921
Growth 5yr Actual/Est,0.6073302875623774
Growth 3yr Historic,0.4142619311875693
Price/Earnings (TTM),17.5131
Price/Sales (TTM),4.39719
Price/Book (MRQ),3.67255
Price/Cash Flow (TTM),8.98995
5yr Low,13.06
5yr High,35.64
5yr Avg Return,-0.030133333333333318
EPS Growth 5yr,0.4550363
Revenue Growth 5yr,-0.0100225
Dividend Growth 5yr,0.3433699
Short Int Current Month,12720070.0
Short Int Prev Month,15990037.0
Short Int Pct of Float,0.0326144
Days to Cover,1.7975
Float,390.4124
Shares Outstanding,398.5755
Institutions Holding Shares,740.0
FCF Growth 5yr,1.3287216013371002
"Price/Earnings (TTM, GAAP)",17.51
"PEG Ratio (TTM, GAAP)",0.68
Gross Profit Margin (TTM),0.6375000000000001
Operating Profit Margin (TTM),0.3805
Net Profit Margin (TTM),0.2607
Annual Dividend Yield,0.02
Dividend Change %,0.4
"Dividend Growth Rate, 3 Years",0.6355
EPS Growth (MRQ),-0.6271
EPS Growth (TTM),-0.2853
Revenue Growth (MRQ),-0.1624
Revenue Growth (TTM),-0.23149999999999998
Return On Equity (TTM),0.2104
Return On Assets (TTM),0.10490000000000001
Return On Investment (TTM),0.1128
Revenue Per Employee (TTM),6609683.0
Total Debt/Total Capital (MRQ),0.3601
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),1.35
Interest Coverage (MRQ),6.05
newConstructs,3
researchTeam,hold
cfra,4
theStreet,buy
ford,3
creditSuisse,neutral
marketEdge opinion,long
marketEdge,-1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
cfra since,2020-02-11 00:00:00
theStreet since,2020-04-13 00:00:00
ford since,2019-06-07 00:00:00
creditSuisse since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
