,ICE
% Below High,0.0825
% Held by Institutions,0.9093000000000001
52-Wk Range,['63.51 - 101.93']
Annual Dividend $,1.2
Annual Dividend %,0.0129
Ask,94.59
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.5
Bid,93.46
Bid Size,100.0
Closing Price,93.52
Day Change $,0.43
Day Change %,0.0046
Day High,94.7
Day Low,92.77
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",3.74
Ex-dividend,2020-06-15 00:00:00
Ex-dividend Date,06/15/20
Historical Volatility,0.365
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,51.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.88
Prev Close,93.09
Short Interest,0.0104
Today's Open,94.66
Volume,2126736.0
Volume 10-day Avg,2496086.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.1090909090909089
Growth 1yr High Est,0.202020202020202
Growth 1yr Consensus Est,0.15555555555555545
Growth 2yr Low Est,0.06976793698105177
Growth 2yr High Est,0.11991766403531112
Growth 2yr Consensus Est,0.09484280050818145
Growth 5yr Low Est,0.10874139725808624
Growth 5yr High Est,0.135892072811015
Growth 5yr Consensus Est,0.12231673503455062
Growth 5yr Actual/Est,0.12175345840653862
Growth 3yr Historic,0.07443227420801662
Price/Earnings (TTM),24.87807
Price/Sales (TTM),9.27716
Price/Book (MRQ),3.01159
Price/Cash Flow (TTM),18.48363
5yr Low,44.06
5yr High,101.93
5yr Avg Return,0.12560000000000002
EPS Growth 5yr,0.1519026
Revenue Growth 5yr,0.1096504
Dividend Growth 5yr,0.16165690000000002
Short Int Current Month,5613398.0
Short Int Prev Month,6505446.0
Short Int Pct of Float,0.0103799
Days to Cover,1.6716
Float,539.1104
Shares Outstanding,547.2218
Institutions Holding Shares,1337.0
FCF Growth 5yr,0.20851938358889582
"Price/Earnings (TTM, GAAP)",24.88
"PEG Ratio (TTM, GAAP)",2.77
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5263
Net Profit Margin (TTM),0.3872
Annual Dividend Yield,0.0129
Dividend Change %,-0.0517
"Dividend Growth Rate, 3 Years",0.292
EPS Growth (MRQ),0.4692
EPS Growth (TTM),0.07690000000000001
Revenue Growth (MRQ),0.2011
Revenue Growth (TTM),0.09300000000000001
Return On Equity (TTM),0.1233
Return On Assets (TTM),0.0183
Return On Investment (TTM),0.0818
Revenue Per Employee (TTM),916848.0
Total Debt/Total Capital (MRQ),0.3279
Change in Debt/Total Capital Quarter over Quarter,-0.0025
Quick Ratio (MRQ),
Interest Coverage (MRQ),19.87
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,3
ford,1
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
theStreet since,2014-03-18 00:00:00
cfra since,2017-08-03 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-12-16 00:00:00
