,LDOS
% Below High,0.1839
% Held by Institutions,0.7698999999999999
52-Wk Range,['68.00 - 125.84']
Annual Dividend $,1.36
Annual Dividend %,0.013500000000000002
Ask,103.99
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.1
Bid,101.71
Bid Size,400.0
Closing Price,102.7
Day Change $,2.32
Day Change %,0.0231
Day High,103.1
Day Low,100.92
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",4.13
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.41200000000000003
Last (size),20.0
Last (time),6:30p ET 05/08/20
Market Cap,14.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.31
Prev Close,100.38
Short Interest,0.0254
Today's Open,101.75
Volume,895892.0
Volume 10-day Avg,1055489.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.022222222222222143
Growth 1yr High Est,0.12426035502958577
Growth 1yr Consensus Est,0.07324128862590396
Growth 2yr Low Est,0.09905577514273167
Growth 2yr High Est,0.14370912488321386
Growth 2yr Consensus Est,0.12138245001297276
Growth 5yr Low Est,0.13180628736604683
Growth 5yr High Est,0.15175724363739157
Growth 5yr Consensus Est,0.1417817655017192
Growth 5yr Actual/Est,0.14174220625489553
Growth 3yr Historic,0.0894461629105906
Price/Earnings (TTM),24.30897
Price/Sales (TTM),1.25007
Price/Book (MRQ),4.24857
Price/Cash Flow (TTM),17.11687
5yr Low,37.79
5yr High,125.84
5yr Avg Return,0.20793333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.1698658
Dividend Growth 5yr,0.0061733000000000005
Short Int Current Month,3569082.0
Short Int Prev Month,2781430.0
Short Int Pct of Float,0.0254172
Days to Cover,2.86096
Float,141.124
Shares Outstanding,142.0438
Institutions Holding Shares,793.0
FCF Growth 5yr,0.21927191721187955
"Price/Earnings (TTM, GAAP)",24.31
"PEG Ratio (TTM, GAAP)",2.35
Gross Profit Margin (TTM),0.1391
Operating Profit Margin (TTM),0.08
Net Profit Margin (TTM),0.052300000000000006
Annual Dividend Yield,0.013500000000000002
Dividend Change %,0.0313
"Dividend Growth Rate, 3 Years",-0.0621
EPS Growth (MRQ),-0.3837
EPS Growth (TTM),-0.0633
Revenue Growth (MRQ),-0.022000000000000002
Revenue Growth (TTM),0.10439999999999999
Return On Equity (TTM),0.179
Return On Assets (TTM),0.058600000000000006
Return On Investment (TTM),0.0868
Revenue Per Employee (TTM),335471.0
Total Debt/Total Capital (MRQ),0.5578000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.71
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
cfra,3
theStreet,buy
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
creditSuisse since,2020-05-07 00:00:00
cfra since,2020-02-19 00:00:00
theStreet since,2017-10-03 00:00:00
ford since,2020-04-03 00:00:00
