,FITB
% Above Low,0.6302000000000001
% Held by Institutions,0.7783
52-Wk Range,['11.10 - 31.64']
Annual Dividend $,1.08
Annual Dividend %,0.0623
Ask,18.25
Ask Size,300.0
B/A Ratio,4.0
B/A Size,1200x300
Beta,1.7
Bid,18.1
Bid Size,1200.0
Closing Price,18.1
Day Change $,0.765
Day Change %,0.0441
Day High,18.24
Day Low,17.67
Dividend Pay Date,2020-04-14 00:00:00
"EPS (TTM, GAAP)",2.28
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.631
Last (size),10.0
Last (time),4:00p ET 05/08/20
Market Cap,12.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.6
Prev Close,17.33
Short Interest,0.0191
Today's Open,17.8
Volume,5411663.0
Volume 10-day Avg,6315863.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-1.3057553956834531
Growth 1yr High Est,-0.232394366197183
Growth 1yr Consensus Est,-0.7690748809403181
Growth 2yr Low Est,-1.8352306390181972
Growth 2yr High Est,0.07187621139682132
Growth 2yr Consensus Est,-0.8816772138106879
Growth 5yr Low Est,-0.8959664277496191
Growth 5yr High Est,0.04594500700965981
Growth 5yr Consensus Est,-0.4250107103699796
Growth 5yr Actual/Est,0.03458201969218255
Growth 3yr Historic,0.013382802595271859
Price/Earnings (TTM),7.60261
Price/Sales (TTM),1.53092
Price/Book (MRQ),0.61319
Price/Cash Flow (TTM),6.03818
5yr Low,11.1
5yr High,34.67
5yr Avg Return,0.026400000000000007
EPS Growth 5yr,0.1489897
Revenue Growth 5yr,0.0918691
Dividend Growth 5yr,0.13008609999999998
Short Int Current Month,13527678.0
Short Int Prev Month,11866775.0
Short Int Pct of Float,0.0190903
Days to Cover,1.69546
Float,708.8635
Shares Outstanding,711.1327
Institutions Holding Shares,981.0
FCF Growth 5yr,0.05341233352515908
"Price/Earnings (TTM, GAAP)",7.6
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2816
Net Profit Margin (TTM),0.2214
Annual Dividend Yield,0.06230000000000001
Dividend Change %,0.27030000000000004
"Dividend Growth Rate, 3 Years",0.1251
EPS Growth (MRQ),-0.9595
EPS Growth (TTM),-0.2939
Revenue Growth (MRQ),-0.022400000000000003
Revenue Growth (TTM),0.17300000000000001
Return On Equity (TTM),0.08710000000000001
Return On Assets (TTM),0.0101
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
theStreet,hold
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2020-03-11 00:00:00
cfra since,2019-10-30 00:00:00
ford since,2020-01-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
