,ECL
% Below High,0.0638
% Held by Institutions,0.8504
52-Wk Range,['124.60 - 211.24']
Annual Dividend $,1.88
Annual Dividend %,0.0097
Ask,215.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,195.0
Bid Size,100.0
Closing Price,197.76
Day Change $,3.64
Day Change %,0.018799999999999997
Day High,198.44
Day Low,194.86
Dividend Pay Date,2020-07-15 00:00:00
"EPS (TTM, GAAP)",5.29
Ex-dividend,2020-06-15 00:00:00
Ex-dividend Date,06/15/20
Historical Volatility,0.43200000000000005
Last (size),1800.0
Last (time),6:30p ET 05/08/20
Market Cap,57.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",36.69
Prev Close,194.12
Short Interest,0.0121
Today's Open,197.0
Volume,1052613.0
Volume 10-day Avg,1456104.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.26724137931034475
Growth 1yr High Est,-0.05932203389830515
Growth 1yr Consensus Est,-0.16328170660432495
Growth 2yr Low Est,-0.024208924949290056
Growth 2yr High Est,0.06493357764544205
Growth 2yr Consensus Est,0.020362326348076
Growth 5yr Low Est,0.046917684920947056
Growth 5yr High Est,0.09268356923219517
Growth 5yr Consensus Est,0.06980062707657111
Growth 5yr Actual/Est,0.06612490440449337
Growth 3yr Historic,0.05699360341151383
Price/Earnings (TTM),36.68802
Price/Sales (TTM),3.7474
Price/Book (MRQ),6.36277
Price/Cash Flow (TTM),27.90214
5yr Low,98.62
5yr High,211.24
5yr Avg Return,0.10338333333333333
EPS Growth 5yr,0.0622893
Revenue Growth 5yr,0.0086147
Dividend Growth 5yr,0.1083707
Short Int Current Month,3481000.0
Short Int Prev Month,3302104.0
Short Int Pct of Float,0.0121044
Days to Cover,2.06167
Float,287.7984
Shares Outstanding,289.2267
Institutions Holding Shares,1615.0
FCF Growth 5yr,0.0668771675030155
"Price/Earnings (TTM, GAAP)",36.69
"PEG Ratio (TTM, GAAP)",4.97
Gross Profit Margin (TTM),0.41740000000000005
Operating Profit Margin (TTM),0.1358
Net Profit Margin (TTM),0.10470000000000002
Annual Dividend Yield,0.0097
Dividend Change %,0.122
"Dividend Growth Rate, 3 Years",0.0954
EPS Growth (MRQ),-0.34049999999999997
EPS Growth (TTM),-0.0085
Revenue Growth (MRQ),-0.0633
Revenue Growth (TTM),0.019
Return On Equity (TTM),0.1816
Return On Assets (TTM),0.0725
Return On Investment (TTM),0.0902
Revenue Per Employee (TTM),298452.0
Total Debt/Total Capital (MRQ),0.4676
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.15
Interest Coverage (MRQ),9.54
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2009-05-05 00:00:00
cfra since,2020-04-09 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2014-01-06 00:00:00
