,DHR
% Below High,0.054000000000000006
% Held by Institutions,0.7970999999999999
52-Wk Range,['119.60 - 170.64']
Annual Dividend $,0.72
Annual Dividend %,0.0044
Ask,163.75
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.9
Bid,161.43
Bid Size,300.0
Closing Price,161.43
Day Change $,-2.05
Day Change %,-0.0125
Day High,164.75
Day Low,161.1
Dividend Pay Date,2020-07-31 00:00:00
"EPS (TTM, GAAP)",3.63
Ex-dividend,2020-06-25 00:00:00
Ex-dividend Date,06/25/20
Historical Volatility,0.32
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,112.6B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",45.08
Prev Close,163.48
Short Interest,0.010700000000000001
Today's Open,164.06
Volume,9292538.0
Volume 10-day Avg,3681373.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.05263157894736836
Growth 1yr High Est,0.1473684210526316
Growth 1yr Consensus Est,0.09999999999999998
Growth 2yr Low Est,0.10240274599542332
Growth 2yr High Est,0.1635924674070497
Growth 2yr Consensus Est,0.1329976067012365
Growth 5yr Low Est,0.09409681535696102
Growth 5yr High Est,0.12719424365377363
Growth 5yr Consensus Est,0.11064552950536732
Growth 5yr Actual/Est,0.10180680442381895
Growth 3yr Historic,0.024080200961921372
Price/Earnings (TTM),45.07617
Price/Sales (TTM),6.56309
Price/Book (MRQ),3.8684
Price/Cash Flow (TTM),30.23843
5yr Low,75.71
5yr High,170.64
5yr Avg Return,0.1351333333333333
EPS Growth 5yr,0.0760768
Revenue Growth 5yr,0.0683896
Dividend Growth 5yr,0.1556818
Short Int Current Month,6598731.0
Short Int Prev Month,6263403.0
Short Int Pct of Float,0.0106966
Days to Cover,1.99783
Float,616.9014
Shares Outstanding,697.5112
Institutions Holding Shares,1962.0
FCF Growth 5yr,0.005821974842253885
"Price/Earnings (TTM, GAAP)",45.08
"PEG Ratio (TTM, GAAP)",3.49
Gross Profit Margin (TTM),0.5588000000000001
Operating Profit Margin (TTM),0.1863
Net Profit Margin (TTM),0.155
Annual Dividend Yield,0.0044
Dividend Change %,0.0806
"Dividend Growth Rate, 3 Years",0.0493
EPS Growth (MRQ),-0.1434
EPS Growth (TTM),0.19440000000000002
Revenue Growth (MRQ),0.5307000000000001
Revenue Growth (TTM),0.0483
Return On Equity (TTM),0.08789999999999999
Return On Assets (TTM),0.0446
Return On Investment (TTM),0.0501
Revenue Per Employee (TTM),289572.0
Total Debt/Total Capital (MRQ),0.45530000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0072
Quick Ratio (MRQ),1.01
Interest Coverage (MRQ),
newConstructs,4
researchTeam,hold
theStreet,buy
cfra,3
creditSuisse,outperform
ford,3
marketEdge opinion,neutralfromlong
marketEdge,0
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
theStreet since,2009-05-18 00:00:00
cfra since,2014-07-17 00:00:00
creditSuisse since,2017-02-01 00:00:00
ford since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
