,VIAC
% Above Low,0.7901
% Held by Institutions,0.8029999999999999
52-Wk Range,['10.10 - 53.71']
Annual Dividend $,0.96
Annual Dividend %,0.058499999999999996
Ask,18.2
Ask Size,1400.0
B/A Ratio,0.07142857142857142
B/A Size,100x1400
Beta,1.8
Bid,18.15
Bid Size,100.0
Closing Price,18.08
Day Change $,1.66
Day Change %,0.1011
Day High,18.22
Day Low,16.6
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",3.51
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.648
Last (size),502.0
Last (time),4:00p ET 05/08/20
Market Cap,11.1B
"P/E Ratio (TTM, GAAP)",5.14
Prev Close,16.42
Short Interest,0.07519999999999999
Today's Open,16.82
Volume,17215221.0
Volume 10-day Avg,14294634.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.6524271844660194
Growth 1yr High Est,-0.10037878787878796
Growth 1yr Consensus Est,-0.3764029861724037
Growth 2yr Low Est,0.08440093290665496
Growth 2yr High Est,0.050863237639553416
Growth 2yr Consensus Est,0.06763208527310419
Growth 5yr Low Est,0.09585612683068595
Growth 5yr High Est,0.07611499011818221
Growth 5yr Consensus Est,0.08598555847443408
Growth 5yr Actual/Est,0.026008258574810428
Growth 3yr Historic,0.03621584340514972
Price/Earnings (TTM),5.14486
Price/Sales (TTM),0.37082
Price/Book (MRQ),0.82677
Price/Cash Flow (TTM),4.09068
5yr Low,10.1
5yr High,70.1
5yr Avg Return,-0.13485
EPS Growth 5yr,0.16719830000000002
Revenue Growth 5yr,0.1503576
Dividend Growth 5yr,0.07140200000000001
Short Int Current Month,40373092.0
Short Int Prev Month,37247144.0
Short Int Pct of Float,0.0752259
Days to Cover,2.98096
Float,546.129
Shares Outstanding,613.7392
Institutions Holding Shares,1053.0
FCF Growth 5yr,0.07844695766973067
"Price/Earnings (TTM, GAAP)",5.14
"PEG Ratio (TTM, GAAP)",4.97
Gross Profit Margin (TTM),0.3884
Operating Profit Margin (TTM),0.129
Net Profit Margin (TTM),0.0741
Annual Dividend Yield,0.053099999999999994
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0455
EPS Growth (MRQ),0.22920000000000001
EPS Growth (TTM),-0.4864
Revenue Growth (MRQ),-0.5968
Revenue Growth (TTM),-0.009000000000000001
Return On Equity (TTM),0.2434
Return On Assets (TTM),0.061399999999999996
Return On Investment (TTM),0.0751
Revenue Per Employee (TTM),1263610.0
Total Debt/Total Capital (MRQ),0.5734
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.05
Interest Coverage (MRQ),5.37
newConstructs,3
researchTeam,hold
creditSuisse,neutral
cfra,4
ford,3
theStreet,hold
marketEdge,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-11-11 00:00:00
creditSuisse since,2020-02-03 00:00:00
cfra since,2020-02-21 00:00:00
ford since,2020-02-21 00:00:00
theStreet since,2019-08-26 00:00:00
marketEdge since,
