,FMC
% Below High,0.1406
% Held by Institutions,0.9261
52-Wk Range,['56.77 - 108.77']
Annual Dividend $,1.76
Annual Dividend %,0.0187
Ask,103.89
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.3
Bid,65.56
Bid Size,100.0
Closing Price,93.48
Day Change $,-0.63
Day Change %,-0.0067
Day High,96.38
Day Low,93.38
Dividend Pay Date,2020-07-16 00:00:00
"EPS (TTM, GAAP)",4.17
Ex-dividend,2020-06-29 00:00:00
Ex-dividend Date,06/29/20
Historical Volatility,0.511
Last (size),462.0
Last (time),6:30p ET 05/08/20
Market Cap,12.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.57
Prev Close,94.11
Short Interest,0.0191
Today's Open,95.41
Volume,982250.0
Volume 10-day Avg,894900.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.04938271604938271
Growth 1yr High Est,0.08603896103896114
Growth 1yr Consensus Est,0.06771083854417193
Growth 2yr Low Est,0.09696026558771653
Growth 2yr High Est,0.13195819501873318
Growth 2yr Consensus Est,0.11445923030322486
Growth 5yr Low Est,0.3605202665731225
Growth 5yr High Est,0.3937698739028248
Growth 5yr Consensus Est,0.3771450702379737
Growth 5yr Actual/Est,0.3687702793197719
Growth 3yr Historic,0.32230917698684136
Price/Earnings (TTM),22.56629
Price/Sales (TTM),2.60991
Price/Book (MRQ),4.55344
Price/Cash Flow (TTM),17.36604
5yr Low,32.24
5yr High,108.77
5yr Avg Return,0.14800000000000002
EPS Growth 5yr,0.1343088
Revenue Growth 5yr,0.071834
Dividend Growth 5yr,0.1683327
Short Int Current Month,2458444.0
Short Int Prev Month,2378459.0
Short Int Pct of Float,0.0191391
Days to Cover,2.08224
Float,128.4454
Shares Outstanding,129.4472
Institutions Holding Shares,784.0
FCF Growth 5yr,-0.2952870745067169
"Price/Earnings (TTM, GAAP)",22.57
"PEG Ratio (TTM, GAAP)",2.35
Gross Profit Margin (TTM),0.45
Operating Profit Margin (TTM),0.17809999999999998
Net Profit Margin (TTM),0.1177
Annual Dividend Yield,0.0187
Dividend Change %,1.4242
"Dividend Growth Rate, 3 Years",0.34340000000000004
EPS Growth (MRQ),6.0127999999999995
EPS Growth (TTM),0.10890000000000001
Revenue Growth (MRQ),0.044000000000000004
Revenue Growth (TTM),0.06820000000000001
Return On Equity (TTM),0.20140000000000002
Return On Assets (TTM),0.0546
Return On Investment (TTM),0.077
Revenue Per Employee (TTM),729328.0
Total Debt/Total Capital (MRQ),0.5832
Change in Debt/Total Capital Quarter over Quarter,0.0022
Quick Ratio (MRQ),1.39
Interest Coverage (MRQ),7.62
theStreet,buy
newConstructs,2
researchTeam,reduce
marketEdge opinion,long
marketEdge,0
creditSuisse,outperform
cfra,4
ford,3
theStreet since,2020-05-06 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
creditSuisse since,2016-11-04 00:00:00
cfra since,2020-04-03 00:00:00
ford since,2020-03-13 00:00:00
