,FMC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.57,38.27,Valuation,0.5897569898092501
Price/Sales (TTM),2.61,3.08,Valuation,0.8474025974025974
Price/Book (MRQ),4.55,4.22,Valuation,1.0781990521327014
"PEG Ratio (TTM, GAAP)",2.35,0.32,Valuation,7.34375
Gross Profit Margin (TTM),0.45,0.3542,Profitability,1.2704686617730097
Operating Profit Margin (TTM),0.17809999999999998,0.09910000000000001,Profitability,1.797174571140262
Net Profit Margin (TTM),0.1177,0.0683,Profitability,1.7232796486090776
Annual Dividend Yield,0.0187,0.0256,Dividend,0.73046875
Dividend Change %,1.4242,0.09,Dividend,15.824444444444444
"Dividend Growth Rate, 3 Years",0.34340000000000004,0.054900000000000004,Dividend,6.255009107468124
EPS Growth (MRQ),6.0127999999999995,-0.07110000000000001,Gowth rates,-84.56821378340364
EPS Growth (TTM),0.10890000000000001,-1.1804000000000001,Gowth rates,-0.09225686208065062
Revenue Growth (MRQ),0.044000000000000004,0.0044,Gowth rates,10.0
Revenue Growth (TTM),0.06820000000000001,0.09369999999999999,Gowth rates,0.7278548559231592
Return On Equity (TTM),0.20140000000000002,0.14550000000000002,Effectiveness,1.384192439862543
Return On Assets (TTM),0.0546,0.0393,Effectiveness,1.3893129770992367
Return On Investment (TTM),0.077,0.057800000000000004,Effectiveness,1.3321799307958477
Revenue Per Employee (TTM),729328.0,547214.0,Effectiveness,1.332802157839529
Total Debt/Total Capital (MRQ),0.5832,0.4595,Financial strength,1.2692056583242655
Change in Debt/Total Capital Quarter over Quarter,0.0022,0.0003,Financial strength,7.333333333333335
Quick Ratio (MRQ),1.39,1.14,Financial strength,1.219298245614035
Interest Coverage (MRQ),7.62,11.97,Financial strength,0.6365914786967418
