,FMC
Price/Earnings (TTM),22.56629
Price/Sales (TTM),2.60991
Price/Book (MRQ),4.55344
Price/Cash Flow (TTM),17.36604
5yr Low,32.24
5yr High,108.77
5yr Avg Return,0.14800000000000002
EPS Growth 5yr,0.1343088
Revenue Growth 5yr,0.071834
Dividend Growth 5yr,0.1683327
Short Int Current Month,2458444.0
Short Int Prev Month,2378459.0
Short Int Pct of Float,0.0191391
Days to Cover,2.08224
Float,128.4454
Shares Outstanding,129.4472
Institutions Holding Shares,784.0
% Held by Institutions,0.926131
FCF Growth 5yr,-0.2952870745067169
