,Industry,PKI,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",39.64,45.34,Valuation,1.1437941473259334
Price/Sales (TTM),7.43,3.57,Valuation,0.48048452220726784
Price/Book (MRQ),7.94,3.73,Valuation,0.46977329974811083
"PEG Ratio (TTM, GAAP)",1.15,4.2,Valuation,3.6521739130434785
Gross Profit Margin (TTM),0.49570000000000003,0.48360000000000003,Profitability,0.9755900746419205
Operating Profit Margin (TTM),0.1317,0.111,Profitability,0.8428246013667425
Net Profit Margin (TTM),0.1234,0.07830000000000001,Profitability,0.6345218800648299
Annual Dividend Yield,0.0019,0.003,Dividend,1.5789473684210527
Dividend Change %,0.0517,0.0,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0347,0.0,Dividend,0.0
EPS Growth (MRQ),-0.0070999999999999995,-0.4904,Gowth rates,69.07042253521128
EPS Growth (TTM),0.3436,-0.0706,Gowth rates,-0.20547147846332944
Revenue Growth (MRQ),0.047599999999999996,-0.19010000000000002,Gowth rates,-3.9936974789915975
Revenue Growth (TTM),0.0782,0.0376,Gowth rates,0.48081841432225064
Return On Equity (TTM),0.2188,0.0837,Effectiveness,0.38254113345521024
Return On Assets (TTM),0.0727,0.0362,Effectiveness,0.4979367262723522
Return On Investment (TTM),0.0859,0.041100000000000005,Effectiveness,0.4784633294528522
Revenue Per Employee (TTM),317723.0,222103.0,Effectiveness,0.6990460243671374
Total Debt/Total Capital (MRQ),0.4082,0.4226,Financial strength,1.0352768250857423
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0003,Financial strength,1.4999999999999998
Quick Ratio (MRQ),2.19,1.3,Financial strength,0.5936073059360731
Interest Coverage (MRQ),6.61,4.73,Financial strength,0.7155824508320726
