,PKI
% Below High,0.0974
% Held by Institutions,0.9793000000000001
52-Wk Range,['62.91 - 102.46']
Annual Dividend $,0.28
Annual Dividend %,0.003
Ask,104.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,83.8
Bid Size,100.0
Closing Price,92.48
Day Change $,-0.28
Day Change %,-0.003
Day High,93.99
Day Low,92.11
Dividend Pay Date,2020-08-07 00:00:00
"EPS (TTM, GAAP)",2.04
Ex-dividend,2020-07-16 00:00:00
Ex-dividend Date,07/16/20
Historical Volatility,0.341
Last (size),317.0
Last (time),6:30p ET 05/08/20
Market Cap,10.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",45.34
Prev Close,92.76
Short Interest,0.0258
Today's Open,93.92
Volume,822712.0
Volume 10-day Avg,1033958.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.15270935960591125
Growth 1yr High Est,0.11491442542787289
Growth 1yr Consensus Est,-0.018897467089019182
Growth 2yr Low Est,0.0326569481040212
Growth 2yr High Est,0.10022037060867339
Growth 2yr Consensus Est,0.0664386593563473
Growth 5yr Low Est,0.1106902235103826
Growth 5yr High Est,0.14250025568956337
Growth 5yr Consensus Est,0.126595239599973
Growth 5yr Actual/Est,0.1276276522203386
Growth 3yr Historic,0.0951404145572643
Price/Earnings (TTM),45.336
Price/Sales (TTM),3.56503
Price/Book (MRQ),3.72985
Price/Cash Flow (TTM),22.85758
5yr Low,39.5
5yr High,103.0
5yr Avg Return,0.11718333333333333
EPS Growth 5yr,0.0771865
Revenue Growth 5yr,0.0520769
Dividend Growth 5yr,0.0
Short Int Current Month,2847986.0
Short Int Prev Month,3369837.0
Short Int Pct of Float,0.0258047
Days to Cover,3.35068
Float,110.3988
Shares Outstanding,111.3044
Institutions Holding Shares,591.0
FCF Growth 5yr,0.03261748776836651
"Price/Earnings (TTM, GAAP)",45.34
"PEG Ratio (TTM, GAAP)",4.2
Gross Profit Margin (TTM),0.48360000000000003
Operating Profit Margin (TTM),0.111
Net Profit Margin (TTM),0.07830000000000001
Annual Dividend Yield,0.003
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.4904
EPS Growth (TTM),-0.0706
Revenue Growth (MRQ),-0.19010000000000002
Revenue Growth (TTM),0.0376
Return On Equity (TTM),0.0837
Return On Assets (TTM),0.0362
Return On Investment (TTM),0.041100000000000005
Revenue Per Employee (TTM),222103.0
Total Debt/Total Capital (MRQ),0.4226
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),1.3
Interest Coverage (MRQ),4.73
newConstructs,4
researchTeam,hold
marketEdge opinion,long
marketEdge,0
cfra,3
theStreet,buy
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-10-10 00:00:00
theStreet since,2012-12-30 00:00:00
ford since,2020-01-31 00:00:00
creditSuisse since,
