,MMM
% Above Low,0.3023
% Held by Institutions,0.667
52-Wk Range,['114.04 - 187.72']
Annual Dividend $,5.88
Annual Dividend %,0.0403
Ask,149.12
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.0
Bid,148.52
Bid Size,500.0
Closing Price,148.51
Day Change $,2.77
Day Change %,0.019
Day High,149.18
Day Low,146.38
Dividend Pay Date,2020-03-12 00:00:00
"EPS (TTM, GAAP)",8.52
Ex-dividend,2020-02-13 00:00:00
Ex-dividend Date,02/13/20
Historical Volatility,0.353
Last (size),184.0
Last (time),6:30p ET 05/08/20
Market Cap,85.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.1
Prev Close,145.74
Short Interest,0.013000000000000001
Today's Open,147.08
Volume,2170027.0
Volume 10-day Avg,3399431.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.16017797552836488
Growth 1yr High Est,-0.024070021881838155
Growth 1yr Consensus Est,-0.09212399870510152
Growth 2yr Low Est,-0.039029385115175785
Growth 2yr High Est,0.026081580987332043
Growth 2yr Consensus Est,-0.006473902063921871
Growth 5yr Low Est,-0.021172151121123806
Growth 5yr High Est,0.010067817520693051
Growth 5yr Consensus Est,-0.005552166800215377
Growth 5yr Actual/Est,-0.0018947099603917883
Growth 3yr Historic,0.0021862378568405505
Price/Earnings (TTM),17.09973
Price/Sales (TTM),2.59148
Price/Book (MRQ),8.26147
Price/Cash Flow (TTM),12.62297
5yr Low,114.04
5yr High,259.77
5yr Avg Return,0.007583333333333334
EPS Growth 5yr,0.0085156
Revenue Growth 5yr,0.001972
Dividend Growth 5yr,0.1098883
Short Int Current Month,7436338.0
Short Int Prev Month,8133946.0
Short Int Pct of Float,0.0129522
Days to Cover,2.04807
Float,574.1515
Shares Outstanding,575.1964
Institutions Holding Shares,2428.0
FCF Growth 5yr,0.01783849549938843
"Price/Earnings (TTM, GAAP)",17.1
"PEG Ratio (TTM, GAAP)",12.14
Gross Profit Margin (TTM),0.47630000000000006
Operating Profit Margin (TTM),0.2049
Net Profit Margin (TTM),0.154
Annual Dividend Yield,0.0403
Dividend Change %,0.0588
"Dividend Growth Rate, 3 Years",0.0906
EPS Growth (MRQ),0.3361
EPS Growth (TTM),-0.0904
Revenue Growth (MRQ),-0.0044
Revenue Growth (TTM),-0.0001
Return On Equity (TTM),0.5009
Return On Assets (TTM),0.1168
Return On Investment (TTM),0.1445
Revenue Per Employee (TTM),336387.0
Total Debt/Total Capital (MRQ),0.6878000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),1.19
Interest Coverage (MRQ),15.82
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,4
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-23 00:00:00
cfra since,2020-04-29 00:00:00
ford since,2019-09-27 00:00:00
creditSuisse since,2019-05-17 00:00:00
