,LRCX
% Below High,0.22920000000000001
% Held by Institutions,0.8815000000000001
52-Wk Range,['171.04 - 344.32']
Annual Dividend $,4.6
Annual Dividend %,0.018600000000000002
Ask,266.5
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,1.3
Bid,265.6
Bid Size,600.0
Closing Price,265.4
Day Change $,17.77
Day Change %,0.0718
Day High,266.37
Day Low,252.06
Dividend Pay Date,2020-04-08 00:00:00
"EPS (TTM, GAAP)",13.9
Ex-dividend,2020-03-24 00:00:00
Ex-dividend Date,03/24/20
Historical Volatility,0.616
Last (size),2.0
Last (time),4:15p ET 05/08/20
Market Cap,38.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",17.81
Prev Close,247.63
Short Interest,0.027000000000000003
Today's Open,252.9
Volume,2839754.0
Volume 10-day Avg,2614223.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.01607267645003474
Growth 1yr High Est,0.09332425068119887
Growth 1yr Consensus Est,0.054698463565616806
Growth 2yr Low Est,0.006660822406585498
Growth 2yr High Est,0.17283034963966493
Growth 2yr Consensus Est,0.08974558602312521
Growth 5yr Low Est,0.13953684904465416
Growth 5yr High Est,0.23612701766889974
Growth 5yr Consensus Est,0.18783193335677695
Growth 5yr Actual/Est,0.2052154518123942
Growth 3yr Historic,0.1511987321032664
Price/Earnings (TTM),17.81148
Price/Sales (TTM),3.73897
Price/Book (MRQ),7.92157
Price/Cash Flow (TTM),15.23316
5yr Low,61.2
5yr High,344.32
5yr Avg Return,0.32293333333333335
EPS Growth 5yr,0.3048036
Revenue Growth 5yr,0.1594393
Dividend Growth 5yr,0.895117
Short Int Current Month,3917169.0
Short Int Prev Month,3599206.0
Short Int Pct of Float,0.027003
Days to Cover,2.03778
Float,144.7051
Shares Outstanding,145.1622
Institutions Holding Shares,1356.0
FCF Growth 5yr,0.4140168117277142
"Price/Earnings (TTM, GAAP)",17.81
"PEG Ratio (TTM, GAAP)",1.29
Gross Profit Margin (TTM),0.4586
Operating Profit Margin (TTM),0.2637
Net Profit Margin (TTM),0.2181
Annual Dividend Yield,0.018600000000000002
Dividend Change %,1.3158
"Dividend Growth Rate, 3 Years",0.542
EPS Growth (MRQ),0.1317
EPS Growth (TTM),-0.0975
Revenue Growth (MRQ),-0.0309
Revenue Growth (TTM),-0.0772
Return On Equity (TTM),0.4267
Return On Assets (TTM),0.1623
Return On Investment (TTM),0.2004
Revenue Per Employee (TTM),898506.0
Total Debt/Total Capital (MRQ),0.5291
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),3.67
Interest Coverage (MRQ),23.85
newConstructs,2
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
theStreet,buy
cfra,3
ford,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2013-05-23 00:00:00
cfra since,2019-07-03 00:00:00
ford since,2020-03-06 00:00:00
creditSuisse since,2009-10-09 00:00:00
