,Industry,Type,UPS,Ratio to Industry
"Price/Earnings (TTM, GAAP)",26.14,Valuation,18.57,0.7104055087987758
Price/Sales (TTM),0.95,Valuation,1.1,1.1578947368421053
Price/Book (MRQ),15.25,Valuation,24.86,1.6301639344262295
"PEG Ratio (TTM, GAAP)",0.86,Valuation,3.32,3.8604651162790695
Gross Profit Margin (TTM),0.6581999999999999,Profitability,0.7857,1.1937101185050139
Operating Profit Margin (TTM),0.0818,Profitability,0.1052,1.2860635696821516
Net Profit Margin (TTM),0.042,Profitability,0.0599,1.4261904761904762
Annual Dividend Yield,0.0313,Dividend,0.0426,1.3610223642172523
Dividend Change %,0.10960000000000002,Dividend,0.054900000000000004,0.500912408759124
"Dividend Growth Rate, 3 Years",0.13470000000000001,Dividend,0.0717,0.532293986636971
EPS Growth (MRQ),-0.9287000000000001,Gowth rates,-1.0612000000000001,1.1426725530311188
EPS Growth (TTM),-0.3025,Gowth rates,-0.0728,0.2406611570247934
Revenue Growth (MRQ),0.0229,Gowth rates,0.12279999999999999,5.362445414847161
Revenue Growth (TTM),0.014499999999999999,Gowth rates,0.0311,2.1448275862068966
Return On Equity (TTM),0.8289,Effectiveness,1.4122000000000001,1.703703703703704
Return On Assets (TTM),0.0669,Effectiveness,0.08230000000000001,1.2301943198804186
Return On Investment (TTM),0.0959,Effectiveness,0.1134,1.1824817518248176
Revenue Per Employee (TTM),301197.0,Effectiveness,149685.0,0.49696710126594884
Total Debt/Total Capital (MRQ),0.6733,Financial strength,0.8849,1.3142729838110798
Change in Debt/Total Capital Quarter over Quarter,-0.0004,Financial strength,-0.0004,1.0
Quick Ratio (MRQ),0.26,Financial strength,,
Interest Coverage (MRQ),12.41,Financial strength,20.19,1.6269137792103143
