,UPS
% Above Low,0.1565
% Held by Institutions,0.6744
52-Wk Range,['82.00 - 125.31']
Annual Dividend $,4.04
Annual Dividend %,0.0435
Ask,95.06
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.8
Bid,94.85
Bid Size,1000.0
Closing Price,94.83
Day Change $,2.0
Day Change %,0.0215
Day High,94.98
Day Low,93.31
Dividend Pay Date,2020-03-10 00:00:00
"EPS (TTM, GAAP)",5.11
Ex-dividend,2020-02-24 00:00:00
Ex-dividend Date,02/24/20
Historical Volatility,0.358
Last (size),9.0
Last (time),6:30p ET 05/08/20
Market Cap,81.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.57
Prev Close,92.83
Short Interest,0.0207
Today's Open,93.54
Volume,3418905.0
Volume 10-day Avg,5395894.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.4281879194630873
Growth 1yr High Est,-0.07358738501971096
Growth 1yr Consensus Est,-0.25088765224139914
Growth 2yr Low Est,-0.03921133062356241
Growth 2yr High Est,0.029872974156811172
Growth 2yr Consensus Est,-0.0046691782333756204
Growth 5yr Low Est,0.044938718063037175
Growth 5yr High Est,0.07375553981365493
Growth 5yr Consensus Est,0.05934712893834605
Growth 5yr Actual/Est,0.05881087929177753
Growth 3yr Historic,0.06117853761226688
Price/Earnings (TTM),18.57274
Price/Sales (TTM),1.09869
Price/Book (MRQ),24.86421
Price/Cash Flow (TTM),11.97154
5yr Low,82.0
5yr High,135.53
5yr Avg Return,0.004799999999999993
EPS Growth 5yr,0.09259959999999999
Revenue Growth 5yr,0.049359400000000005
Dividend Growth 5yr,0.0745813
Short Int Current Month,14565593.0
Short Int Prev Month,12871346.0
Short Int Pct of Float,0.0207347
Days to Cover,3.25878
Float,701.9781
Shares Outstanding,858.4467
Institutions Holding Shares,1974.0
FCF Growth 5yr,-1.1475031802309044
"Price/Earnings (TTM, GAAP)",18.57
"PEG Ratio (TTM, GAAP)",3.32
Gross Profit Margin (TTM),0.7857
Operating Profit Margin (TTM),0.1052
Net Profit Margin (TTM),0.0599
Annual Dividend Yield,0.0426
Dividend Change %,0.054900000000000004
"Dividend Growth Rate, 3 Years",0.0717
EPS Growth (MRQ),-1.0612000000000001
EPS Growth (TTM),-0.0728
Revenue Growth (MRQ),0.12279999999999999
Revenue Growth (TTM),0.0311
Return On Equity (TTM),1.4122000000000001
Return On Assets (TTM),0.08230000000000001
Return On Investment (TTM),0.1134
Revenue Per Employee (TTM),149685.0
Total Debt/Total Capital (MRQ),0.8849
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),20.19
newConstructs,2
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,hold
cfra,4
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-10 00:00:00
cfra since,2020-04-29 00:00:00
ford since,2020-01-31 00:00:00
creditSuisse since,2015-01-23 00:00:00
