,AIG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.19,11.9,Valuation,0.4361344537815126
Price/Sales (TTM),0.42,3.79,Valuation,0.11081794195250659
Price/Book (MRQ),0.37,2.87,Valuation,0.1289198606271777
"PEG Ratio (TTM, GAAP)",1.04,0.14,Valuation,7.428571428571428
Gross Profit Margin (TTM),,0.0161,Profitability,
Operating Profit Margin (TTM),0.15660000000000002,0.10220000000000001,Profitability,1.532289628180039
Net Profit Margin (TTM),0.0934,0.069,Profitability,1.353623188405797
Annual Dividend Yield,0.050199999999999995,0.026099999999999998,Dividend,1.9233716475095786
Dividend Change %,0.0,0.0658,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.1061,Dividend,0.0
EPS Growth (MRQ),1.0352,-0.1369,Gowth rates,-7.56172388604821
EPS Growth (TTM),17.745,0.8539,Gowth rates,20.781121911230823
Revenue Growth (MRQ),0.2186,0.1629,Gowth rates,1.3419275629220382
Revenue Growth (TTM),0.0712,0.0974,Gowth rates,0.731006160164271
Return On Equity (TTM),0.0728,0.1313,Effectiveness,0.5544554455445545
Return On Assets (TTM),0.0095,0.0302,Effectiveness,0.31456953642384106
Return On Investment (TTM),,0.0234,Effectiveness,
Revenue Per Employee (TTM),1126609.0,1167261.0,Effectiveness,0.9651731703535028
Total Debt/Total Capital (MRQ),0.3641,0.2986,Financial strength,1.2193569993302076
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0004,Financial strength,-0.25
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),14.11,10.16,Financial strength,1.388779527559055
