,AIG
Price/Earnings (TTM),5.18591
Price/Sales (TTM),0.42413
Price/Book (MRQ),0.36825
Price/Cash Flow (TTM),2.11469
5yr Low,16.07
5yr High,67.47
5yr Avg Return,-0.07828333333333333
EPS Growth 5yr,-0.067828
Revenue Growth 5yr,-0.0503196
Dividend Growth 5yr,0.2068353
Short Int Current Month,13385163.0
Short Int Prev Month,14345626.0
Short Int Pct of Float,0.0155623
Days to Cover,1.43069
Float,860.4581
Shares Outstanding,861.2906
Institutions Holding Shares,1087.0
% Held by Institutions,0.9388299999999999
FCF Growth 5yr,
