,AIG
% Above Low,0.7206
% Held by Institutions,0.9388
52-Wk Range,['16.07 - 58.66']
Annual Dividend $,1.28
Annual Dividend %,0.050199999999999995
Ask,28.04
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.4
Bid,27.66
Bid Size,500.0
Change Since Close,0.16| |(0.58%)
Closing Price,27.65
Day Change $,2.13
Day Change %,0.08349999999999999
Day High,27.7
Day Low,25.81
Dividend Pay Date,2020-06-29 00:00:00
"EPS (TTM, GAAP)",4.92
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.618
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,27.81
Market Cap,23.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.19
Prev Close,25.52
Short Interest,0.015600000000000001
Today's Open,26.28
Volume,9830701.0
Volume 10-day Avg,8474492.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.5111111111111111
Growth 1yr High Est,-0.3664717348927875
Growth 1yr Consensus Est,-0.4387914230019493
Growth 2yr Low Est,0.15353535353535352
Growth 2yr High Est,0.07061028639976019
Growth 2yr Consensus Est,0.11207281996755686
Growth 5yr Low Est,0.15353535353535352
Growth 5yr High Est,0.07061028639976019
Growth 5yr Consensus Est,0.11207281996755686
Growth 5yr Actual/Est,0.6717536980973291
Growth 3yr Historic,0.6057692307692308
Price/Earnings (TTM),5.18591
Price/Sales (TTM),0.42413
Price/Book (MRQ),0.36825
Price/Cash Flow (TTM),2.11469
5yr Low,16.07
5yr High,67.47
5yr Avg Return,-0.07828333333333333
EPS Growth 5yr,-0.067828
Revenue Growth 5yr,-0.0503196
Dividend Growth 5yr,0.2068353
Short Int Current Month,13385163.0
Short Int Prev Month,14345626.0
Short Int Pct of Float,0.0155623
Days to Cover,1.43069
Float,860.4581
Shares Outstanding,861.2906
Institutions Holding Shares,1087.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",5.19
"PEG Ratio (TTM, GAAP)",1.04
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.15660000000000002
Net Profit Margin (TTM),0.0934
Annual Dividend Yield,0.050199999999999995
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),1.0352
EPS Growth (TTM),17.745
Revenue Growth (MRQ),0.2186
Revenue Growth (TTM),0.0712
Return On Equity (TTM),0.0728
Return On Assets (TTM),0.0095
Return On Investment (TTM),
Revenue Per Employee (TTM),1126609.0
Total Debt/Total Capital (MRQ),0.3641
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),14.11
newConstructs,3
researchTeam,hold
cfra,3
theStreet,hold
creditSuisse,neutral
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
cfra since,2020-05-06 00:00:00
theStreet since,2020-03-12 00:00:00
creditSuisse since,2019-02-14 00:00:00
ford since,2020-02-14 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
